wavelength_nm,value
414.13,0.0801
417.32,0.0806
420.52,0.0834
423.72,0.088
426.91,0.0952
430.11,0.098
433.31,0.0896
436.5,0.0987
439.7,0.0968
442.9,0.1023
446.09,0.1035
449.29,0.103
452.49,0.107
455.68,0.1028
458.88,0.1097
462.08,0.1102
465.27,0.1084
468.47,0.1078
471.67,0.109
474.86,0.1162
478.06,0.1165
481.26,0.119
484.45,0.1235
487.65,0.1204
490.85,0.1217
494.04,0.1213
497.24,0.1274
500.43,0.1335
503.63,0.1275
506.83,0.1264
510.03,0.1335
513.22,0.1362
516.42,0.1446
519.61,0.1347
522.81,0.1403
526.01,0.1452
529.2,0.1419
532.4,0.1458
535.6,0.1527
538.79,0.1577
541.99,0.1583
545.19,0.1568
548.38,0.1623
551.58,0.1647
554.78,0.1689
557.97,0.1757
561.17,0.1724
564.37,0.172
567.56,0.1759
570.76,0.184
573.96,0.1802
577.15,0.183
580.35,0.1851
583.55,0.1863
586.74,0.1975
589.94,0.1992
593.14,0.196
596.33,0.2035
599.53,0.206
602.73,0.2103
605.92,0.213
609.12,0.2134
612.32,0.2146
615.51,0.2161
618.71,0.2164
621.91,0.2255
625.1,0.2264
628.3,0.226
631.5,0.2255
634.69,0.2308
637.89,0.229
641.09,0.2354
644.28,0.2391
647.48,0.246
650.67,0.2347
653.87,0.2372
657.07,0.2414
660.27,0.2298
663.46,0.2464
666.66,0.2512
669.85,0.249
673.05,0.2523
676.25,0.2496
679.45,0.2495
682.64,0.2543
685.84,0.2752
689.03,0.2748
692.23,0.2744
695.43,0.274
698.62,0.2736
701.82,0.2732
705.02,0.2728
708.21,0.2724
711.41,0.272
714.61,0.2716
717.8,0.2712
721.0,0.2708
724.2,0.2704
727.39,0.27
730.59,0.2696
733.79,0.2692
736.98,0.2688
740.18,0.2684
743.38,0.2755
746.57,0.2779
749.77,0.274
752.97,0.2751
756.16,0.2762
759.36,0.2773
762.56,0.2784
765.75,0.2794
768.95,0.2805
772.15,0.2816
775.34,0.286
778.54,0.2896
781.74,0.2856
784.93,0.2828
788.13,0.2847
791.33,0.2847
794.52,0.2847
797.72,0.2846
800.92,0.2846
804.11,0.2846
807.31,0.2846
810.51,0.2846
813.7,0.2846
816.9,0.2845
820.1,0.2845
823.29,0.2845
826.49,0.2845
829.68,0.2845
832.88,0.2845
836.08,0.2845
839.28,0.2844
842.47,0.2844
845.67,0.2854
848.86,0.2965
852.06,0.2912
855.26,0.2799
858.46,0.273
861.65,0.2782
864.85,0.2832
868.04,0.2741
871.24,0.2741
874.44,0.2705
877.63,0.2737
880.83,0.2791
884.03,0.2718
887.22,0.2827
890.42,0.2786
893.62,0.2801
896.81,0.2799
900.01,0.278
903.21,0.276
906.4,0.2742
909.6,0.2723
912.8,0.2704
915.99,0.2686
919.19,0.267
922.39,0.2654
925.58,0.2637
928.78,0.262
931.98,0.2603
935.17,0.2588
938.37,0.2572
941.57,0.2556
944.76,0.2538
947.96,0.2523
951.16,0.2509
954.35,0.2494
957.55,0.2477
960.75,0.2459
963.94,0.2441
967.14,0.2422
970.1,0.2403
975.54,0.2385
980.98,0.2353
986.42,0.2318
991.86,0.2283
997.3,0.2252
1002.74,0.2225
1008.18,0.2185
1013.62,0.2211
1019.06,0.2254
1024.5,0.2263
1029.95,0.225
1035.39,0.2197
1040.83,0.2186
1046.27,0.222
1051.71,0.2275
1057.15,0.232
1062.59,0.2341
1068.03,0.2356
1073.47,0.2287
1078.91,0.229
1084.35,0.2278
1089.79,0.2289
1095.23,0.229
1100.67,0.2288
1106.11,0.2288
1111.55,0.2288
1116.99,0.2291
1122.43,0.2292
1127.87,0.2289
1133.32,0.2289
1138.76,0.2296
1144.2,0.2306
1149.64,0.2312
1155.08,0.231
1160.52,0.2306
1165.96,0.2306
1171.4,0.2303
1176.84,0.23
1182.28,0.2299
1187.72,0.2325
1193.16,0.235
1198.6,0.2516
1204.04,0.242
1209.48,0.2492
1214.92,0.2451
1220.36,0.2488
1225.8,0.2559
1231.24,0.2555
1236.69,0.2605
1242.13,0.265
1247.57,0.2675
1253.01,0.2711
1258.45,0.2784
1263.89,0.2829
1269.33,0.2729
1274.77,0.2567
1280.21,0.268
1285.65,0.268
1291.09,0.274
1296.53,0.2773
1301.97,0.2784
1307.41,0.2773
1312.85,0.2824
1318.29,0.2655
1323.73,0.2706
1329.17,0.3299
1334.61,0.3243
1340.06,0.3181
1345.5,0.3114
1350.94,0.3043
1356.38,0.2971
1361.82,0.29
1367.26,0.2831
1372.7,0.2766
1378.14,0.2704
1383.58,0.2646
1389.02,0.2592
1394.46,0.254
1399.9,0.2489
1405.34,0.2439
1410.78,0.239
1416.22,0.234
1421.66,0.2291
1427.1,0.2242
1432.54,0.2194
1437.98,0.2149
1443.43,0.2105
1448.87,0.2064
1454.31,0.2024
1459.75,0.1987
1465.19,0.1949
1470.63,0.1911
1476.07,0.1871
1481.51,0.1828
1486.95,0.178
1492.39,0.1732
1497.83,0.188
1503.27,0.2136
1508.71,0.2024
1514.15,0.2248
1519.59,0.2266
1525.03,0.2351
1530.47,0.2374
1535.91,0.2459
1541.35,0.2502
1546.8,0.2517
1552.24,0.2539
1557.68,0.2566
1563.12,0.2505
1568.56,0.265
1574.0,0.2532
1579.44,0.2455
1584.88,0.2469
1590.32,0.2479
1595.76,0.2462
1601.2,0.2524
1606.64,0.2481
1612.08,0.2526
1617.52,0.2414
1622.96,0.2431
1628.4,0.2487
1633.84,0.246
1639.28,0.2496
1644.72,0.245
1650.17,0.2432
1655.61,0.2443
1661.05,0.2455
1666.49,0.2452
1671.93,0.2437
1677.37,0.2461
1682.81,0.2474
1688.25,0.2463
1693.69,0.2452
1699.13,0.2432
1704.57,0.2412
1710.01,0.2379
1715.45,0.2365
1720.89,0.2384
1726.33,0.2347
1731.77,0.2347
1737.21,0.2421
1742.65,0.2342
1748.09,0.2334
1753.54,0.2359
1758.98,0.2335
1764.42,0.2359
1769.86,0.2192
1775.3,0.2265
1780.74,0.2254
1786.18,0.2241
1791.62,0.2225
1797.06,0.2207
1802.5,0.2187
1807.94,0.2167
1813.38,0.2146
1818.82,0.2126
1824.26,0.2107
1829.7,0.2088
1835.14,0.2071
1840.58,0.2056
1846.02,0.2042
1851.46,0.2029
1856.91,0.2018
1862.35,0.2007
1867.79,0.1997
1873.23,0.1988
1878.67,0.1979
1884.11,0.197
1889.55,0.1961
1894.99,0.1952
1900.43,0.1943
1905.87,0.1934
1911.31,0.1926
1916.75,0.1919
1922.19,0.1914
1927.63,0.1909
1933.07,0.1906
1938.51,0.1903
1943.95,0.1903
1949.39,0.1902
1954.83,0.1903
1960.28,0.1903
1965.72,0.1903
1971.16,0.1903
1976.6,0.19
1982.04,0.1896
1987.48,0.1889
1992.92,0.1882
1998.36,0.1679
2003.8,0.2394
2009.24,0.1885
2014.68,0.2241
2020.12,0.2259
2025.56,0.2211
2031.0,0.2137
2036.44,0.2098
2041.88,0.2106
2047.32,0.1995
2052.76,0.2173
2058.2,0.2093
2063.65,0.208
2069.09,0.2191
2074.53,0.224
2079.97,0.2143
2085.41,0.2138
2090.85,0.2109
2096.29,0.2109
2101.73,0.2136
2107.17,0.2128
2112.61,0.2103
2118.05,0.2077
2123.49,0.2137
2128.93,0.2123
2134.37,0.2089
2139.81,0.2124
2145.25,0.2073
2150.69,0.2115
2156.13,0.2099
2161.57,0.2088
2167.02,0.2099
2172.46,0.2032
2177.9,0.1963
2183.34,0.2047
2188.78,0.2053
2194.22,0.2003
2199.66,0.2109
2205.1,0.2109
2210.54,0.2018
2215.98,0.204
2221.42,0.2067
2226.86,0.2039
2232.3,0.1984
2237.74,0.2027
2243.18,0.1989
2248.62,0.1991
2254.06,0.1943
2259.5,0.1935
2264.94,0.1881
2270.39,0.1936
2275.83,0.1934
2281.27,0.1813
2286.71,0.1878
2292.15,0.1871
2297.59,0.1924
2303.03,0.1925
2308.47,0.187
2313.91,0.1683
2319.35,0.1879
2324.79,0.1878
2330.23,0.176
2335.67,0.1731
2341.11,0.1799
2346.55,0.1662
2351.99,0.1974
2357.43,0.1786
2362.87,0.148
2368.32,0.174
2373.76,0.1746
2379.2,0.1512
2384.64,0.1822
2390.08,0.1811
2395.52,0.1647
2400.96,0.1572
2406.4,0.1538
2411.84,0.127
2417.28,0.2047
2422.72,0.1852
2428.16,0.1523
2433.6,0.2088
2439.04,0.1521
2444.48,0.1037
2449.92,0.2729
2455.36,0.2175
2460.8,0.1676
2466.24,0.1703
2471.69,0.1804
2477.13,0.129
2482.57,0.2686
2488.01,0.4815
2493.45,1.4956
2498.89,0.3505
