wavelength_nm,value
414.13,0.0359
417.32,0.036
420.52,0.039
423.72,0.0415
426.91,0.0415
430.11,0.0459
433.31,0.0387
436.5,0.0439
439.7,0.0437
442.9,0.0462
446.09,0.0488
449.29,0.0464
452.49,0.0481
455.68,0.0457
458.88,0.0504
462.08,0.0513
465.27,0.0512
468.47,0.048
471.67,0.0491
474.86,0.0528
478.06,0.0541
481.26,0.0553
484.45,0.0569
487.65,0.0541
490.85,0.0565
494.04,0.0549
497.24,0.0584
500.43,0.0602
503.63,0.0599
506.83,0.0598
510.03,0.0624
513.22,0.0659
516.42,0.0722
519.61,0.0698
522.81,0.0687
526.01,0.0754
529.2,0.0759
532.4,0.0782
535.6,0.082
538.79,0.0871
541.99,0.0869
545.19,0.0878
548.38,0.0872
551.58,0.0882
554.78,0.0915
557.97,0.0955
561.17,0.0909
564.37,0.0937
567.56,0.0938
570.76,0.0958
573.96,0.0923
577.15,0.0932
580.35,0.0941
583.55,0.0951
586.74,0.0955
589.94,0.0971
593.14,0.0936
596.33,0.0944
599.53,0.0953
602.73,0.0976
605.92,0.1003
609.12,0.0992
612.32,0.1
615.51,0.0986
618.71,0.0981
621.91,0.0994
625.1,0.1033
628.3,0.1022
631.5,0.1005
634.69,0.1015
637.89,0.1017
641.09,0.1056
644.28,0.1043
647.48,0.1088
650.67,0.1024
653.87,0.1033
657.07,0.1048
660.27,0.0974
663.46,0.1041
666.66,0.1054
669.85,0.1047
673.05,0.1052
676.25,0.106
679.45,0.1058
682.64,0.1063
685.84,0.1178
689.03,0.1213
692.23,0.1249
695.43,0.1285
698.62,0.1321
701.82,0.1357
705.02,0.1392
708.21,0.1428
711.41,0.1464
714.61,0.15
717.8,0.1535
721.0,0.1571
724.2,0.1607
727.39,0.1643
730.59,0.1679
733.79,0.1714
736.98,0.175
740.18,0.1786
743.38,0.1822
746.57,0.1884
749.77,0.1931
752.97,0.1945
756.16,0.1959
759.36,0.1973
762.56,0.1987
765.75,0.2001
768.95,0.2015
772.15,0.2029
775.34,0.204
778.54,0.209
781.74,0.2074
784.93,0.21
788.13,0.2107
791.33,0.2114
794.52,0.2121
797.72,0.2128
800.92,0.2135
804.11,0.2142
807.31,0.2149
810.51,0.2156
813.7,0.2164
816.9,0.2171
820.1,0.2178
823.29,0.2185
826.49,0.2192
829.68,0.2199
832.88,0.2206
836.08,0.2213
839.28,0.222
842.47,0.2227
845.67,0.2212
848.86,0.2255
852.06,0.2252
855.26,0.2271
858.46,0.22
861.65,0.2239
864.85,0.2367
868.04,0.2255
871.24,0.2265
874.44,0.2265
877.63,0.2247
880.83,0.2239
884.03,0.2321
887.22,0.2255
890.42,0.2209
893.62,0.2332
896.81,0.233
900.01,0.2326
903.21,0.2321
906.4,0.2317
909.6,0.2312
912.8,0.2308
915.99,0.2304
919.19,0.2301
922.39,0.2298
925.58,0.2295
928.78,0.2291
931.98,0.2288
935.17,0.2286
938.37,0.2283
941.57,0.2279
944.76,0.2276
947.96,0.2273
951.16,0.2272
954.35,0.227
957.55,0.2266
960.75,0.2262
963.94,0.2258
967.14,0.2253
970.1,0.2248
975.54,0.2244
980.98,0.2235
986.42,0.2225
991.86,0.2215
997.3,0.2208
1002.74,0.2206
1008.18,0.2214
1013.62,0.2252
1019.06,0.23
1024.5,0.231
1029.95,0.2276
1035.39,0.2239
1040.83,0.2238
1046.27,0.2294
1051.71,0.2324
1057.15,0.238
1062.59,0.2412
1068.03,0.2398
1073.47,0.2334
1078.91,0.235
1084.35,0.2335
1089.79,0.2337
1095.23,0.2331
1100.67,0.2323
1106.11,0.2317
1111.55,0.2311
1116.99,0.2307
1122.43,0.23
1127.87,0.229
1133.32,0.2281
1138.76,0.2278
1144.2,0.2276
1149.64,0.2272
1155.08,0.2261
1160.52,0.225
1165.96,0.2242
1171.4,0.2233
1176.84,0.2223
1182.28,0.2217
1187.72,0.2239
1193.16,0.2261
1198.6,0.2405
1204.04,0.2312
1209.48,0.2385
1214.92,0.2373
1220.36,0.2433
1225.8,0.2485
1231.24,0.2481
1236.69,0.2533
1242.13,0.2589
1247.57,0.2598
1253.01,0.2645
1258.45,0.2725
1263.89,0.2763
1269.33,0.266
1274.77,0.2539
1280.21,0.2638
1285.65,0.2609
1291.09,0.2668
1296.53,0.268
1301.97,0.2708
1307.41,0.267
1312.85,0.267
1318.29,0.251
1323.73,0.2533
1329.17,0.2958
1334.61,0.2898
1340.06,0.2833
1345.5,0.2763
1350.94,0.2691
1356.38,0.2617
1361.82,0.2544
1367.26,0.2474
1372.7,0.2406
1378.14,0.2342
1383.58,0.2281
1389.02,0.2223
1394.46,0.2167
1399.9,0.2113
1405.34,0.2059
1410.78,0.2005
1416.22,0.1951
1421.66,0.1898
1427.1,0.1845
1432.54,0.1793
1437.98,0.1742
1443.43,0.1694
1448.87,0.1646
1454.31,0.1601
1459.75,0.1556
1465.19,0.1512
1470.63,0.1466
1476.07,0.142
1481.51,0.137
1486.95,0.1317
1492.39,0.1263
1497.83,0.1387
1503.27,0.1569
1508.71,0.1551
1514.15,0.1781
1519.59,0.1815
1525.03,0.1925
1530.47,0.1971
1535.91,0.2062
1541.35,0.2122
1546.8,0.2171
1552.24,0.2216
1557.68,0.226
1563.12,0.2237
1568.56,0.2365
1574.0,0.2299
1579.44,0.2234
1584.88,0.2259
1590.32,0.2297
1595.76,0.2283
1601.2,0.2377
1606.64,0.2366
1612.08,0.2433
1617.52,0.2348
1622.96,0.2389
1628.4,0.2431
1633.84,0.2433
1639.28,0.2456
1644.72,0.2441
1650.17,0.2424
1655.61,0.2443
1661.05,0.246
1666.49,0.2469
1671.93,0.2452
1677.37,0.2521
1682.81,0.2513
1688.25,0.2482
1693.69,0.2467
1699.13,0.2457
1704.57,0.2453
1710.01,0.242
1715.45,0.2414
1720.89,0.2414
1726.33,0.2367
1731.77,0.2331
1737.21,0.2411
1742.65,0.2298
1748.09,0.2343
1753.54,0.2322
1758.98,0.226
1764.42,0.2277
1769.86,0.2049
1775.3,0.2095
1780.74,0.2069
1786.18,0.2041
1791.62,0.2011
1797.06,0.1979
1802.5,0.1946
1807.94,0.1913
1813.38,0.1879
1818.82,0.1846
1824.26,0.1813
1829.7,0.1782
1835.14,0.1752
1840.58,0.1723
1846.02,0.1696
1851.46,0.167
1856.91,0.1645
1862.35,0.1621
1867.79,0.1597
1873.23,0.1574
1878.67,0.1551
1884.11,0.1528
1889.55,0.1505
1894.99,0.1482
1900.43,0.1459
1905.87,0.1436
1911.31,0.1414
1916.75,0.1392
1922.19,0.1371
1927.63,0.1351
1933.07,0.1332
1938.51,0.1314
1943.95,0.1296
1949.39,0.1279
1954.83,0.1261
1960.28,0.1244
1965.72,0.1226
1971.16,0.1208
1976.6,0.1188
1982.04,0.1167
1987.48,0.1144
1992.92,0.1122
1998.36,0.1037
2003.8,0.1637
2009.24,0.1277
2014.68,0.151
2020.12,0.1572
2025.56,0.1524
2031.0,0.1525
2036.44,0.1496
2041.88,0.1519
2047.32,0.1408
2052.76,0.1569
2058.2,0.1534
2063.65,0.1597
2069.09,0.165
2074.53,0.1694
2079.97,0.1638
2085.41,0.1672
2090.85,0.1671
2096.29,0.1636
2101.73,0.1694
2107.17,0.1668
2112.61,0.1687
2118.05,0.1711
2123.49,0.1734
2128.93,0.179
2134.37,0.1798
2139.81,0.1794
2145.25,0.1739
2150.69,0.1785
2156.13,0.1768
2161.57,0.179
2167.02,0.1796
2172.46,0.1768
2177.9,0.1764
2183.34,0.1756
2188.78,0.1779
2194.22,0.1714
2199.66,0.1794
2205.1,0.1826
2210.54,0.1767
2215.98,0.1815
2221.42,0.1795
2226.86,0.1782
2232.3,0.1774
2237.74,0.1725
2243.18,0.1725
2248.62,0.1726
2254.06,0.1674
2259.5,0.1677
2264.94,0.1662
2270.39,0.1671
2275.83,0.1622
2281.27,0.1605
2286.71,0.1583
2292.15,0.1561
2297.59,0.1607
2303.03,0.1602
2308.47,0.1557
2313.91,0.1372
2319.35,0.1544
2324.79,0.1476
2330.23,0.1383
2335.67,0.127
2341.11,0.1349
2346.55,0.1207
2351.99,0.1458
2357.43,0.1358
2362.87,0.1173
2368.32,0.1223
2373.76,0.1253
2379.2,0.1078
2384.64,0.12
2390.08,0.1229
2395.52,0.1161
2400.96,0.1031
2406.4,0.0934
2411.84,0.0815
2417.28,0.1324
2422.72,0.1145
2428.16,0.0845
2433.6,0.1069
2439.04,0.0905
2444.48,0.0562
2449.92,0.1596
2455.36,0.1146
2460.8,0.0854
2466.24,0.07
2471.69,0.0636
2477.13,0.0178
2482.57,0.0868
2488.01,0.027
2493.45,0.4568
2498.89,0.124
