wavelength_nm,value
414.13,0.0363
417.32,0.0393
420.52,0.0421
423.72,0.0379
426.91,0.0424
430.11,0.046
433.31,0.0413
436.5,0.0444
439.7,0.0423
442.9,0.043
446.09,0.0442
449.29,0.0436
452.49,0.046
455.68,0.0462
458.88,0.0483
462.08,0.0528
465.27,0.0487
468.47,0.0468
471.67,0.0513
474.86,0.0529
478.06,0.0566
481.26,0.0571
484.45,0.0575
487.65,0.0586
490.85,0.0564
494.04,0.0586
497.24,0.0609
500.43,0.0637
503.63,0.0605
506.83,0.0635
510.03,0.0609
513.22,0.0648
516.42,0.0716
519.61,0.0669
522.81,0.0675
526.01,0.0694
529.2,0.0681
532.4,0.0712
535.6,0.0729
538.79,0.078
541.99,0.0772
545.19,0.0781
548.38,0.0769
551.58,0.0794
554.78,0.08
557.97,0.0834
561.17,0.0821
564.37,0.0818
567.56,0.0837
570.76,0.0848
573.96,0.0851
577.15,0.0833
580.35,0.0855
583.55,0.088
586.74,0.0891
589.94,0.0909
593.14,0.091
596.33,0.0918
599.53,0.0938
602.73,0.094
605.92,0.0962
609.12,0.0969
612.32,0.097
615.51,0.0982
618.71,0.0979
621.91,0.0999
625.1,0.1012
628.3,0.1035
631.5,0.1041
634.69,0.1046
637.89,0.1035
641.09,0.1053
644.28,0.1094
647.48,0.114
650.67,0.1092
653.87,0.1114
657.07,0.1106
660.27,0.1048
663.46,0.1122
666.66,0.1165
669.85,0.1178
673.05,0.1199
676.25,0.1196
679.45,0.1175
682.64,0.1164
685.84,0.1315
689.03,0.1327
692.23,0.134
695.43,0.1352
698.62,0.1364
701.82,0.1377
705.02,0.1389
708.21,0.1402
711.41,0.1414
714.61,0.1426
717.8,0.1439
721.0,0.1451
724.2,0.1464
727.39,0.1476
730.59,0.1488
733.79,0.1501
736.98,0.1513
740.18,0.1526
743.38,0.1534
746.57,0.1593
749.77,0.1613
752.97,0.1627
756.16,0.1642
759.36,0.1657
762.56,0.1672
765.75,0.1687
768.95,0.1701
772.15,0.1716
775.34,0.1761
778.54,0.1745
781.74,0.1765
784.93,0.1776
788.13,0.1828
791.33,0.1842
794.52,0.1856
797.72,0.187
800.92,0.1884
804.11,0.1898
807.31,0.1912
810.51,0.1926
813.7,0.194
816.9,0.1954
820.1,0.1968
823.29,0.1982
826.49,0.1996
829.68,0.201
832.88,0.2025
836.08,0.2039
839.28,0.2053
842.47,0.2067
845.67,0.1977
848.86,0.2054
852.06,0.1964
855.26,0.2016
858.46,0.1997
861.65,0.1969
864.85,0.2207
868.04,0.2005
871.24,0.2
874.44,0.2014
877.63,0.1974
880.83,0.2084
884.03,0.201
887.22,0.2112
890.42,0.2046
893.62,0.2083
896.81,0.2082
900.01,0.2079
903.21,0.2075
906.4,0.2072
909.6,0.2069
912.8,0.2065
915.99,0.2063
919.19,0.2061
922.39,0.2059
925.58,0.2057
928.78,0.2055
931.98,0.2053
935.17,0.2052
938.37,0.205
941.57,0.2048
944.76,0.2046
947.96,0.2045
951.16,0.2044
954.35,0.2044
957.55,0.2041
960.75,0.2039
963.94,0.2036
967.14,0.2032
970.1,0.2029
975.54,0.2025
980.98,0.2019
986.42,0.2011
991.86,0.2003
997.3,0.1998
1002.74,0.1997
1008.18,0.2052
1013.62,0.2076
1019.06,0.2077
1024.5,0.2086
1029.95,0.207
1035.39,0.2062
1040.83,0.2068
1046.27,0.2109
1051.71,0.2137
1057.15,0.2168
1062.59,0.2171
1068.03,0.2176
1073.47,0.2148
1078.91,0.2106
1084.35,0.2101
1089.79,0.2113
1095.23,0.2118
1100.67,0.212
1106.11,0.2124
1111.55,0.2128
1116.99,0.2135
1122.43,0.2139
1127.87,0.2139
1133.32,0.2141
1138.76,0.2149
1144.2,0.2159
1149.64,0.2166
1155.08,0.2167
1160.52,0.2166
1165.96,0.2169
1171.4,0.217
1176.84,0.217
1182.28,0.2173
1187.72,0.2204
1193.16,0.2234
1198.6,0.2295
1204.04,0.2334
1209.48,0.2372
1214.92,0.2428
1220.36,0.2439
1225.8,0.2491
1231.24,0.2498
1236.69,0.2501
1242.13,0.2519
1247.57,0.255
1253.01,0.2534
1258.45,0.2473
1263.89,0.2536
1269.33,0.275
1274.77,0.263
1280.21,0.2628
1285.65,0.2623
1291.09,0.2594
1296.53,0.2566
1301.97,0.254
1307.41,0.2487
1312.85,0.2496
1318.29,0.2443
1323.73,0.2357
1329.17,0.2338
1334.61,0.2326
1340.06,0.2309
1345.5,0.2289
1350.94,0.2265
1356.38,0.2241
1361.82,0.2216
1367.26,0.2193
