wavelength_nm,value
414.13,0.0365
417.32,0.0406
420.52,0.042
423.72,0.0462
426.91,0.0436
430.11,0.0505
433.31,0.0446
436.5,0.0484
439.7,0.0491
442.9,0.047
446.09,0.0483
449.29,0.0519
452.49,0.0509
455.68,0.0539
458.88,0.0566
462.08,0.0555
465.27,0.0562
468.47,0.0579
471.67,0.0567
474.86,0.0582
478.06,0.0609
481.26,0.0619
484.45,0.0642
487.65,0.064
490.85,0.0641
494.04,0.0631
497.24,0.0675
500.43,0.0731
503.63,0.0694
506.83,0.0705
510.03,0.0704
513.22,0.073
516.42,0.0768
519.61,0.0734
522.81,0.0707
526.01,0.075
529.2,0.0771
532.4,0.0781
535.6,0.0788
538.79,0.0833
541.99,0.0833
545.19,0.0837
548.38,0.0843
551.58,0.0855
554.78,0.0872
557.97,0.0904
561.17,0.089
564.37,0.0897
567.56,0.0888
570.76,0.0938
573.96,0.0942
577.15,0.0927
580.35,0.0937
583.55,0.0942
586.74,0.0972
589.94,0.1007
593.14,0.0978
596.33,0.1012
599.53,0.1009
602.73,0.1037
605.92,0.1036
609.12,0.1068
612.32,0.108
615.51,0.1078
618.71,0.1063
621.91,0.1069
625.1,0.1105
628.3,0.111
631.5,0.1121
634.69,0.1143
637.89,0.1132
641.09,0.1149
644.28,0.1184
647.48,0.1221
650.67,0.12
653.87,0.1212
657.07,0.1213
660.27,0.1161
663.46,0.1211
666.66,0.1242
669.85,0.1282
673.05,0.1259
676.25,0.1267
679.45,0.1281
682.64,0.1287
685.84,0.1404
689.03,0.1408
692.23,0.1413
695.43,0.1417
698.62,0.1421
701.82,0.1425
705.02,0.1429
708.21,0.1434
711.41,0.1438
714.61,0.1442
717.8,0.1446
721.0,0.1451
724.2,0.1455
727.39,0.1459
730.59,0.1463
733.79,0.1467
736.98,0.1472
740.18,0.1476
743.38,0.1542
746.57,0.1556
749.77,0.1539
752.97,0.1551
756.16,0.1564
759.36,0.1576
762.56,0.1588
765.75,0.16
768.95,0.1613
772.15,0.1625
775.34,0.1674
778.54,0.1665
781.74,0.1675
784.93,0.1711
788.13,0.1688
791.33,0.1698
794.52,0.1707
797.72,0.1717
800.92,0.1727
804.11,0.1737
807.31,0.1747
810.51,0.1757
813.7,0.1766
816.9,0.1776
820.1,0.1786
823.29,0.1796
826.49,0.1806
829.68,0.1815
832.88,0.1825
836.08,0.1835
839.28,0.1845
842.47,0.1855
845.67,0.18
848.86,0.1921
852.06,0.1885
855.26,0.193
858.46,0.1831
861.65,0.1883
864.85,0.1975
868.04,0.1917
871.24,0.1838
874.44,0.1833
877.63,0.1947
880.83,0.1916
884.03,0.1984
887.22,0.19
890.42,0.1938
893.62,0.2016
896.81,0.2014
900.01,0.2017
903.21,0.2018
906.4,0.2021
909.6,0.2024
912.8,0.2026
915.99,0.2029
919.19,0.2033
922.39,0.2037
925.58,0.2041
928.78,0.2045
931.98,0.2048
935.17,0.2053
938.37,0.2058
941.57,0.2061
944.76,0.2065
947.96,0.207
951.16,0.2076
954.35,0.2081
957.55,0.2085
960.75,0.2088
963.94,0.2091
967.14,0.2093
970.1,0.2095
975.54,0.2097
980.98,0.21
986.42,0.2102
991.86,0.2103
997.3,0.2108
1002.74,0.2116
1008.18,0.2175
1013.62,0.22
1019.06,0.2195
1024.5,0.2198
1029.95,0.2201
1035.39,0.2186
1040.83,0.2199
1046.27,0.2245
1051.71,0.2262
1057.15,0.2279
1062.59,0.2287
1068.03,0.2278
1073.47,0.2244
1078.91,0.2207
1084.35,0.2201
1089.79,0.2214
1095.23,0.2218
1100.67,0.222
1106.11,0.2223
1111.55,0.2227
1116.99,0.2233
1122.43,0.2237
1127.87,0.2237
1133.32,0.2239
1138.76,0.2248
1144.2,0.226
1149.64,0.2267
1155.08,0.2268
1160.52,0.2268
1165.96,0.227
1171.4,0.227
1176.84,0.227
1182.28,0.2273
1187.72,0.2303
1193.16,0.2333
1198.6,0.2334
1204.04,0.2391
1209.48,0.2423
1214.92,0.2494
1220.36,0.2503
1225.8,0.254
1231.24,0.2565
1236.69,0.2561
1242.13,0.2563
1247.57,0.2569
1253.01,0.2564
1258.45,0.2521
1263.89,0.2546
1269.33,0.2747
1274.77,0.2678
1280.21,0.2664
1285.65,0.2647
1291.09,0.2583
1296.53,0.2556
1301.97,0.2504
1307.41,0.2452
1312.85,0.2439
1318.29,0.237
1323.73,0.2252
1329.17,0.2162
1334.61,0.2154
1340.06,0.2142
1345.5,0.2126
1350.94,0.2107
1356.38,0.2087
1361.82,0.2068
1367.26,0.2049
1372.7,0.2033
1378.14,0.2019
1383.58,0.2008
1389.02,0.1999
1394.46,0.1991
1399.9,0.1985
1405.34,0.198
1410.78,0.1975
1416.22,0.1969
1421.66,0.1964
1427.1,0.196
1432.54,0.1956
1437.98,0.1955
1443.43,0.1955
1448.87,0.1958
1454.31,0.1963
1459.75,0.197
1465.19,0.1979
1470.63,0.1987
1476.07,0.1993
1481.51,0.1998
1486.95,0.1996
1492.39,0.1995
1497.83,0.2045
1503.27,0.2095
1508.71,0.2125
1514.15,0.2241
1519.59,0.2293
1525.03,0.2316
1530.47,0.2338
1535.91,0.2403
1541.35,0.2446
1546.8,0.2461
1552.24,0.2498
1557.68,0.2506
1563.12,0.2477
1568.56,0.2581
1574.0,0.2518
1579.44,0.2475
1584.88,0.2483
1590.32,0.251
1595.76,0.2483
1601.2,0.2618
1606.64,0.2602
1612.08,0.2695
1617.52,0.2565
1622.96,0.261
1628.4,0.2624
1633.84,0.2595
1639.28,0.2657
1644.72,0.2632
1650.17,0.2634
1655.61,0.2645
1661.05,0.2646
1666.49,0.2641
1671.93,0.2632
1677.37,0.2674
1682.81,0.2678
1688.25,0.2634
1693.69,0.2622
1699.13,0.2611
1704.57,0.2588
1710.01,0.2584
1715.45,0.2586
1720.89,0.2528
1726.33,0.2551
1731.77,0.2464
1737.21,0.2582
1742.65,0.2485
1748.09,0.2559
1753.54,0.2492
1758.98,0.2449
1764.42,0.2426
1769.86,0.2224
1775.3,0.2236
1780.74,0.2222
1786.18,0.2204
1791.62,0.2185
1797.06,0.2163
1802.5,0.214
1807.94,0.2117
1813.38,0.2093
1818.82,0.2069
1824.26,0.2046
1829.7,0.2024
1835.14,0.2004
1840.58,0.1985
1846.02,0.1968
1851.46,0.1952
1856.91,0.1937
1862.35,0.1923
1867.79,0.191
1873.23,0.1897
1878.67,0.1884
1884.11,0.1871
1889.55,0.1859
1894.99,0.1846
1900.43,0.1834
1905.87,0.1822
1911.31,0.181
1916.75,0.1799
1922.19,0.179
1927.63,0.1781
1933.07,0.1774
1938.51,0.1768
1943.95,0.1763
1949.39,0.1758
1954.83,0.1754
1960.28,0.175
1965.72,0.1746
1971.16,0.1741
1976.6,0.1734
1982.04,0.1726
1987.48,0.1715
1992.92,0.1703
1998.36,0.1861
2003.8,0.2332
2009.24,0.1709
2014.68,0.1894
2020.12,0.1688
2025.56,0.1784
2031.0,0.1866
2036.44,0.1886
2041.88,0.1963
2047.32,0.1941
2052.76,0.2061
2058.2,0.1811
2063.65,0.1933
2069.09,0.1847
2074.53,0.1859
2079.97,0.183
2085.41,0.1905
2090.85,0.1908
2096.29,0.1915
2101.73,0.1911
2107.17,0.188
2112.61,0.1919
2118.05,0.1908
2123.49,0.1879
2128.93,0.1957
2134.37,0.1961
2139.81,0.199
2145.25,0.199
2150.69,0.2059
2156.13,0.1985
2161.57,0.2047
2167.02,0.2015
2172.46,0.1998
2177.9,0.2005
2183.34,0.2023
2188.78,0.1954
2194.22,0.2073
