wavelength_nm,value
414.13,0.0185
417.32,0.0156
420.52,0.0194
423.72,0.0188
426.91,0.0186
430.11,0.0216
433.31,0.02
436.5,0.0209
439.7,0.0214
442.9,0.0206
446.09,0.018
449.29,0.0202
452.49,0.0209
455.68,0.0205
458.88,0.0219
462.08,0.0208
465.27,0.0213
468.47,0.0215
471.67,0.0199
474.86,0.0209
478.06,0.0232
481.26,0.0239
484.45,0.0232
487.65,0.0232
490.85,0.0229
494.04,0.0221
497.24,0.024
500.43,0.0252
503.63,0.0242
506.83,0.0234
510.03,0.0263
513.22,0.028
516.42,0.0318
519.61,0.0295
522.81,0.0321
526.01,0.0347
529.2,0.0361
532.4,0.0391
535.6,0.0413
538.79,0.0432
541.99,0.0435
545.19,0.0446
548.38,0.0457
551.58,0.0438
554.78,0.0472
557.97,0.0468
561.17,0.0452
564.37,0.046
567.56,0.0412
570.76,0.0418
573.96,0.0387
577.15,0.0384
580.35,0.0362
583.55,0.0359
586.74,0.0375
589.94,0.0357
593.14,0.0351
596.33,0.0364
599.53,0.0359
602.73,0.0363
605.92,0.0356
609.12,0.0347
612.32,0.0344
615.51,0.0342
618.71,0.0337
621.91,0.033
625.1,0.0331
628.3,0.0338
631.5,0.0327
634.69,0.0345
637.89,0.0328
641.09,0.0332
644.28,0.0336
647.48,0.0324
650.67,0.0308
653.87,0.0302
657.07,0.0305
660.27,0.0287
663.46,0.0282
666.66,0.0297
669.85,0.0298
673.05,0.0293
676.25,0.0288
679.45,0.0293
682.64,0.029
685.84,0.0322
689.03,0.0429
692.23,0.0537
695.43,0.0644
698.62,0.0751
701.82,0.0859
705.02,0.0966
708.21,0.1073
711.41,0.1181
714.61,0.1288
717.8,0.1396
721.0,0.1503
724.2,0.161
727.39,0.1718
730.59,0.1825
733.79,0.1932
736.98,0.204
740.18,0.2147
743.38,0.2321
746.57,0.2472
749.77,0.2679
752.97,0.2732
756.16,0.2786
759.36,0.2839
762.56,0.2893
765.75,0.2946
768.95,0.3
772.15,0.3053
775.34,0.3132
778.54,0.3125
781.74,0.3127
784.93,0.314
788.13,0.3158
791.33,0.3166
794.52,0.3175
797.72,0.3184
800.92,0.3192
804.11,0.3201
807.31,0.3209
810.51,0.3218
813.7,0.3227
816.9,0.3235
820.1,0.3244
823.29,0.3253
826.49,0.3261
829.68,0.327
832.88,0.3279
836.08,0.3287
839.28,0.3296
842.47,0.3304
845.67,0.3326
848.86,0.3423
852.06,0.3439
855.26,0.3397
858.46,0.3359
861.65,0.3349
864.85,0.3475
868.04,0.3447
871.24,0.3256
874.44,0.3359
877.63,0.3366
880.83,0.3485
884.03,0.3423
887.22,0.351
890.42,0.3384
893.62,0.3591
896.81,0.3597
900.01,0.3585
903.21,0.3576
906.4,0.3561
909.6,0.3548
912.8,0.3536
915.99,0.3522
919.19,0.3503
922.39,0.3483
925.58,0.3465
928.78,0.3448
931.98,0.3429
935.17,0.34
938.37,0.3372
941.57,0.3347
944.76,0.3327
947.96,0.3303
951.16,0.3276
954.35,0.3251
957.55,0.323
960.75,0.3212
963.94,0.3193
967.14,0.3174
970.1,0.3155
975.54,0.314
980.98,0.3114
986.42,0.3095
991.86,0.3075
997.3,0.3051
1002.74,0.3057
1008.18,0.3057
1013.62,0.314
1019.06,0.3224
1024.5,0.323
1029.95,0.3204
1035.39,0.3192
1040.83,0.3211
1046.27,0.3242
1051.71,0.331
1057.15,0.3409
1062.59,0.3418
1068.03,0.3455
1073.47,0.3341
1078.91,0.3348
1084.35,0.3347
1089.79,0.3279
1095.23,0.3239
1100.67,0.321
1106.11,0.3174
1111.55,0.3136
1116.99,0.309
1122.43,0.3037
1127.87,0.2981
1133.32,0.2911
1138.76,0.2816
1144.2,0.2719
1149.64,0.2634
1155.08,0.2564
1160.52,0.2501
1165.96,0.2447
1171.4,0.2402
1176.84,0.2361
1182.28,0.2329
1187.72,0.2376
1193.16,0.2423
1198.6,0.2626
1204.04,0.2499
1209.48,0.2569
1214.92,0.2561
1220.36,0.2606
1225.8,0.2665
1231.24,0.2678
1236.69,0.2752
1242.13,0.2803
1247.57,0.2834
1253.01,0.2894
1258.45,0.2974
1263.89,0.3012
1269.33,0.288
1274.77,0.2731
1280.21,0.285
1285.65,0.2824
1291.09,0.2855
1296.53,0.2867
1301.97,0.2848
1307.41,0.2775
1312.85,0.2734
1318.29,0.2522
1323.73,0.2471
1329.17,0.2892
1334.61,0.2738
1340.06,0.2634
1345.5,0.2532
1350.94,0.2398
1356.38,0.2265
1361.82,0.2139
1367.26,0.2024
1372.7,0.1912
1378.14,0.177
1383.58,0.161
1389.02,0.1457
1394.46,0.1312
1399.9,0.1174
1405.34,0.1064
1410.78,0.0965
1416.22,0.0871
1421.66,0.0805
1427.1,0.0746
1432.54,0.0694
1437.98,0.0657
1443.43,0.062
1448.87,0.0595
1454.31,0.0574
1459.75,0.0551
1465.19,0.0538
1470.63,0.0518
1476.07,0.0492
1481.51,0.0459
1486.95,0.0475
1492.39,0.049
1497.83,0.0533
1503.27,0.0635
1508.71,0.0643
1514.15,0.0742
1519.59,0.0779
1525.03,0.0841
1530.47,0.0879
1535.91,0.0956
1541.35,0.1002
1546.8,0.105
1552.24,0.1089
1557.68,0.1145
1563.12,0.115
1568.56,0.1263
1574.0,0.1237
1579.44,0.1225
1584.88,0.1268
1590.32,0.13
1595.76,0.1325
1601.2,0.1383
1606.64,0.1389
1612.08,0.1448
1617.52,0.1423
1622.96,0.1467
1628.4,0.1502
1633.84,0.1509
1639.28,0.1537
1644.72,0.1541
1650.17,0.1553
1655.61,0.1558
1661.05,0.1571
1666.49,0.157
1671.93,0.1566
1677.37,0.1595
1682.81,0.1586
1688.25,0.1572
1693.69,0.1543
1699.13,0.1538
1704.57,0.1527
1710.01,0.1492
1715.45,0.1474
1720.89,0.1486
1726.33,0.1425
1731.77,0.141
1737.21,0.1436
1742.65,0.1387
1748.09,0.1355
1753.54,0.1369
1758.98,0.1299
1764.42,0.1283
1769.86,0.117
1775.3,0.1146
1780.74,0.1068
1786.18,0.1037
1791.62,0.1006
1797.06,0.0972
1802.5,0.0927
1807.94,0.0761
1813.38,0.0602
1818.82,0.0449
1824.26,0.0302
1829.7,0.027
1835.14,0.0255
1840.58,0.024
1846.02,0.0226
1851.46,0.0214
1856.91,0.0205
1862.35,0.0198
1867.79,0.019
1873.23,0.0182
1878.67,0.0174
1884.11,0.0165
1889.55,0.0157
1894.99,0.0149
1900.43,0.0142
1905.87,0.0139
1911.31,0.0136
1916.75,0.0133
1922.19,0.0131
1927.63,0.0131
1933.07,0.013
1938.51,0.0129
1943.95,0.0127
1949.39,0.0126
1954.83,0.0131
1960.28,0.0136
1965.72,0.0139
1971.16,0.0136
1976.6,0.0132
1982.04,0.0129
1987.48,0.0194
1992.92,0.0258
1998.36,0.03
2003.8,0.0287
2009.24,0.0338
2014.68,0.0394
2020.12,0.0414
2025.56,0.0381
2031.0,0.0389
2036.44,0.0402
2041.88,0.0401
2047.32,0.0393
2052.76,0.0445
2058.2,0.0429
2063.65,0.0454
2069.09,0.0456
2074.53,0.0495
2079.97,0.0482
2085.41,0.0503
2090.85,0.0501
2096.29,0.0535
2101.73,0.0533
2107.17,0.0535
2112.61,0.0554
2118.05,0.0562
2123.49,0.0577
2128.93,0.0613
2134.37,0.0614
2139.81,0.0617
2145.25,0.062
2150.69,0.0637
2156.13,0.0647
2161.57,0.0668
2167.02,0.0694
2172.46,0.0646
2177.9,0.0659
2183.34,0.0671
2188.78,0.0681
2194.22,0.0692
2199.66,0.073
2205.1,0.0706
2210.54,0.0686
2215.98,0.0684
2221.42,0.0677
2226.86,0.0691
2232.3,0.0672
2237.74,0.0681
2243.18,0.0645
2248.62,0.062
2254.06,0.0618
2259.5,0.0588
2264.94,0.0567
2270.39,0.0565
2275.83,0.0564
2281.27,0.0519
2286.71,0.0525
2292.15,0.0538
2297.59,0.0538
2303.03,0.0531
2308.47,0.0534
2313.91,0.0465
2319.35,0.0514
2324.79,0.0417
2330.23,0.0435
2335.67,0.04
2341.11,0.0487
2346.55,0.0339
2351.99,0.0434
2357.43,0.0433
2362.87,0.0377
2368.32,0.0416
2373.76,0.0338
2379.2,0.0338
2384.64,0.0367
2390.08,0.0338
2395.52,0.0318
2400.96,0.0302
2406.4,0.0271
2411.84,0.0343
2417.28,0.0527
2422.72,0.0405
2428.16,0.0202
2433.6,0.0175
2439.04,0.0237
