wavelength,forest,grass,soil,urban,water
414.13,0.012410000000000001,0.020640000000000002,0.042839999999999996,0.08934,0.01781
417.32,0.01284,0.020090000000000004,0.04401000000000001,0.09207,0.01776
420.52,0.01318,0.02109,0.047159999999999994,0.09294000000000001,0.01882
423.72,0.01199,0.021500000000000002,0.04749,0.09484,0.0181
426.91,0.014499999999999996,0.02271,0.04970000000000001,0.09699,0.02046
430.11,0.01564,0.0259,0.053559999999999997,0.10497999999999999,0.02204
433.31,0.012989999999999998,0.02209,0.04856,0.09459000000000001,0.020270000000000003
436.5,0.01456,0.02314,0.05142000000000001,0.09945000000000001,0.020899999999999995
439.7,0.014300000000000002,0.025030000000000004,0.05186999999999999,0.0998,0.02055
442.9,0.0144,0.02476,0.05295999999999999,0.10191999999999998,0.02065
446.09,0.013829999999999999,0.024329999999999997,0.05509000000000001,0.10264,0.02107
449.29,0.013530000000000004,0.02352,0.05382999999999999,0.09903999999999999,0.020120000000000006
452.49,0.01424,0.0245,0.05588,0.10211,0.021349999999999997
455.68,0.013699999999999999,0.02396,0.05584,0.10111,0.02006
458.88,0.014459999999999997,0.025279999999999997,0.060020000000000004,0.10507,0.02202
462.08,0.014450000000000001,0.025170000000000005,0.05991,0.10504999999999998,0.021740000000000002
465.27,0.014230000000000001,0.02432,0.059430000000000004,0.10429,0.02052
468.47,0.013590000000000001,0.02382,0.059780000000000014,0.10181,0.02053
471.67,0.014279999999999998,0.02443,0.06069,0.10284,0.021259999999999994
474.86,0.014229999999999998,0.02457,0.062329999999999997,0.10508999999999999,0.021330000000000002
478.06,0.0147,0.026500000000000003,0.06584000000000001,0.10776000000000001,0.022920000000000003
481.26,0.015349999999999999,0.026860000000000005,0.06745999999999999,0.10959,0.02366
484.45,0.01542,0.027729999999999998,0.06887,0.11151,0.024159999999999997
487.65,0.01476,0.026399999999999996,0.06750999999999999,0.10990999999999998,0.02376
490.85,0.014660000000000001,0.026119999999999997,0.06797,0.10782999999999998,0.023140000000000004
494.04,0.014140000000000003,0.02608,0.06769,0.10725,0.02386
497.24,0.015089999999999998,0.02768,0.07114,0.11201000000000001,0.02506
500.43,0.01638,0.029759999999999998,0.07564,0.11629000000000003,0.02696
503.63,0.014850000000000002,0.02852,0.07239,0.11056999999999999,0.0253
506.83,0.0155,0.03016,0.07412999999999999,0.11177999999999999,0.02661
510.03,0.01621,0.03217,0.07493999999999999,0.11310999999999997,0.027280000000000006
513.22,0.01754,0.03465,0.07865,0.11632,0.02887
516.42,0.018999999999999996,0.03941,0.08325,0.12109999999999999,0.030680000000000002
519.61,0.01822,0.03969,0.07951,0.11332000000000002,0.02924
522.81,0.018879999999999997,0.042760000000000006,0.07886,0.11311,0.028999999999999998
526.01,0.020710000000000003,0.04826999999999999,0.08392999999999999,0.1173,0.03177
529.2,0.02138,0.04983,0.08238999999999999,0.11457000000000002,0.03075
532.4,0.02301,0.05448000000000001,0.08601,0.11894,0.03227
535.6,0.0233,0.056609999999999994,0.08782,0.11987999999999999,0.033229999999999996
538.79,0.025110000000000004,0.06028,0.09194,0.12456,0.03528
541.99,0.02457,0.06085,0.09298000000000002,0.12434999999999999,0.03513999999999999
545.19,0.02463,0.06182000000000001,0.09325999999999998,0.12281,0.03572
548.38,0.025489999999999995,0.06263,0.09361,0.12446000000000002,0.035820000000000005
551.58,0.02556,0.06348,0.09537,0.12484000000000002,0.03661999999999999
554.78,0.025640000000000007,0.06415,0.09718,0.12635000000000002,0.037399999999999996
557.97,0.026450000000000008,0.06543,0.10173000000000001,0.13169999999999998,0.038970000000000005
561.17,0.024990000000000002,0.0635,0.09931999999999999,0.12815,0.03823
564.37,0.02442,0.06215999999999999,0.10024999999999999,0.12871000000000002,0.038650000000000004
567.56,0.023899999999999998,0.06010999999999998,0.10110999999999999,0.12983,0.039040000000000005
570.76,0.02354,0.059199999999999996,0.10458999999999999,0.13333999999999996,0.040139999999999995
573.96,0.02243,0.05569,0.10362,0.1326,0.03985000000000001
577.15,0.02154,0.05412,0.10247999999999999,0.13195,0.0392
580.35,0.020950000000000003,0.05240999999999999,0.10462,0.13273000000000001,0.03913
583.55,0.021410000000000002,0.05184,0.10633000000000001,0.13518,0.039999999999999994
586.74,0.02127,0.05202,0.10909999999999997,0.13924999999999998,0.04023
589.94,0.02074,0.051269999999999996,0.11116000000000001,0.14171,0.040560000000000006
593.14,0.02034,0.04958,0.10951,0.13901,0.039630000000000006
596.33,0.0207,0.04954000000000001,0.1113,0.14077,0.039389999999999994
599.53,0.020220000000000002,0.04923,0.11196999999999999,0.14048999999999998,0.03848
602.73,0.02066,0.04965,0.11398,0.14353,0.03926
605.92,0.02071,0.04955,0.11569,0.14548,0.038829999999999996
609.12,0.02026,0.04909,0.1162,0.14534,0.038310000000000004
612.32,0.01966,0.04747,0.1163,0.14535000000000003,0.03775
615.51,0.01979,0.04752000000000001,0.11848999999999998,0.14625000000000002,0.03796999999999999
618.71,0.019100000000000002,0.04584,0.11752000000000003,0.14417,0.03729
621.91,0.01925,0.04522999999999999,0.11896999999999999,0.14712999999999998,0.03746
625.1,0.01949,0.04572,0.12228999999999998,0.14934000000000003,0.03768
628.3,0.01944,0.04581999999999999,0.12308,0.14914,0.038180000000000006
631.5,0.019180000000000003,0.04515999999999999,0.12262999999999999,0.14705,0.03683999999999999
634.69,0.01926,0.045099999999999994,0.12365000000000001,0.14843,0.03739
637.89,0.01925,0.04469,0.12454000000000001,0.14873,0.03736
641.09,0.019010000000000003,0.0447,0.12702,0.15164000000000005,0.038160000000000006
644.28,0.019160000000000003,0.04422,0.13001,0.15379,0.03879
647.48,0.01935,0.04327,0.13397,0.15658,0.03961
650.67,0.018000000000000002,0.04118,0.12940999999999997,0.15131999999999998,0.03723
653.87,0.01745,0.04003,0.13007,0.15157000000000004,0.0375
657.07,0.01756,0.039540000000000006,0.13171999999999998,0.15284,0.037309999999999996
660.27,0.01657,0.03689,0.12528999999999998,0.14543,0.034550000000000004
663.46,0.01716,0.037509999999999995,0.13208,0.15218,0.03429
