# Hyperspectral spectrum export
# Source: data\images\221000_Odra_HS_Blok_A_008_VS_join_atm.hdr
# Pixel: col=782  row=2480
# data ignore value: 15000.0
# reflectance scale factor: 10000.0
wavelength_nm,dn_value,valid
414.13,266,1
417.32,271,1
420.52,240,1
423.72,265,1
426.91,281,1
430.11,339,1
433.31,261,1
436.5,276,1
439.7,299,1
442.9,288,1
446.09,323,1
449.29,263,1
452.49,296,1
455.68,291,1
458.88,294,1
462.08,310,1
465.27,300,1
468.47,289,1
471.67,285,1
474.86,312,1
478.06,326,1
481.26,319,1
484.45,333,1
487.65,336,1
490.85,334,1
494.04,311,1
497.24,341,1
500.43,373,1
503.63,354,1
506.83,381,1
510.03,401,1
513.22,440,1
516.42,484,1
519.61,494,1
522.81,507,1
526.01,588,1
529.2,592,1
532.4,639,1
535.6,640,1
538.79,682,1
541.99,725,1
545.19,722,1
548.38,725,1
551.58,712,1
554.78,738,1
557.97,787,1
561.17,748,1
564.37,737,1
567.56,711,1
570.76,700,1
573.96,690,1
577.15,669,1
580.35,639,1
583.55,636,1
586.74,649,1
589.94,663,1
593.14,614,1
596.33,617,1
599.53,617,1
602.73,634,1
605.92,631,1
609.12,634,1
612.32,619,1
615.51,614,1
618.71,597,1
621.91,592,1
625.1,606,1
628.3,601,1
631.5,592,1
634.69,585,1
637.89,597,1
641.09,596,1
644.28,589,1
647.48,570,1
650.67,548,1
653.87,536,1
657.07,530,1
660.27,521,1
663.46,514,1
666.66,510,1
669.85,504,1
673.05,502,1
676.25,511,1
679.45,508,1
682.64,512,1
685.84,580,1
689.03,691,1
692.23,802,1
695.43,913,1
698.62,1024,1
701.82,1135,1
705.02,1246,1
708.21,1357,1
711.41,1468,1
714.61,1579,1
717.8,1690,1
721,1801,1
724.2,1912,1
727.39,2023,1
730.59,2134,1
733.79,2245,1
736.98,2356,1
740.18,2467,1
743.38,2537,1
746.57,2637,1
749.77,2713,1
752.97,2733,1
756.16,2753,1
759.36,2773,1
762.56,2793,1
765.75,2813,1
768.95,2832,1
772.15,2852,1
775.34,2897,1
778.54,2913,1
781.74,2889,1
784.93,2935,1
788.13,2955,1
791.33,2969,1
794.52,2982,1
797.72,2995,1
800.92,3008,1
804.11,3022,1
807.31,3035,1
810.51,3048,1
813.7,3062,1
816.9,3075,1
820.1,3088,1
823.29,3102,1
826.49,3115,1
829.68,3128,1
832.88,3141,1
836.08,3155,1
839.28,3168,1
842.47,3181,1
845.67,3247,1
848.86,3209,1
852.06,3220,1
855.26,3266,1
858.46,3163,1
861.65,3331,1
864.85,3300,1
868.04,3320,1
871.24,3241,1
874.44,3342,1
877.63,3294,1
