# Hyperspectral spectrum export
# Source: data\images\221000_Odra_HS_Blok_A_013_VS_join_atm.hdr
# Pixel: col=235  row=1768
# data ignore value: 15000.0
# reflectance scale factor: 10000.0
wavelength_nm,dn_value,valid
414.13,209,1
417.32,202,1
420.52,236,1
423.72,247,1
426.91,271,1
430.11,290,1
433.31,255,1
436.5,267,1
439.7,262,1
442.9,260,1
446.09,269,1
449.29,247,1
452.49,285,1
455.68,285,1
458.88,311,1
462.08,288,1
465.27,296,1
468.47,299,1
471.67,295,1
474.86,300,1
478.06,334,1
481.26,342,1
484.45,332,1
487.65,344,1
490.85,334,1
494.04,333,1
497.24,341,1
500.43,384,1
503.63,361,1
506.83,376,1
510.03,381,1
513.22,408,1
516.42,467,1
519.61,463,1
522.81,484,1
526.01,531,1
529.2,546,1
532.4,583,1
535.6,609,1
538.79,649,1
541.99,649,1
545.19,660,1
548.38,665,1
551.58,653,1
554.78,694,1
557.97,718,1
561.17,699,1
564.37,678,1
567.56,663,1
570.76,666,1
573.96,637,1
577.15,634,1
580.35,614,1
583.55,613,1
586.74,620,1
589.94,635,1
593.14,618,1
596.33,617,1
599.53,604,1
602.73,626,1
605.92,626,1
609.12,609,1
612.32,607,1
615.51,601,1
618.71,583,1
621.91,590,1
625.1,599,1
628.3,608,1
631.5,595,1
634.69,611,1
637.89,594,1
641.09,594,1
644.28,583,1
647.48,599,1
650.67,575,1
653.87,565,1
657.07,563,1
660.27,542,1
663.46,540,1
666.66,532,1
669.85,523,1
673.05,542,1
676.25,543,1
679.45,544,1
682.64,532,1
685.84,615,1
689.03,709,1
692.23,803,1
695.43,897,1
698.62,990,1
701.82,1084,1
705.02,1178,1
708.21,1272,1
711.41,1366,1
714.61,1459,1
717.8,1553,1
721,1647,1
724.2,1741,1
727.39,1834,1
730.59,1928,1
733.79,2022,1
736.98,2116,1
740.18,2209,1
743.38,2296,1
746.57,2385,1
749.77,2411,1
752.97,2429,1
756.16,2448,1
759.36,2467,1
762.56,2486,1
765.75,2505,1
768.95,2523,1
772.15,2542,1
775.34,2670,1
778.54,2691,1
781.74,2628,1
784.93,2679,1
788.13,2654,1
791.33,2669,1
794.52,2683,1
797.72,2698,1
800.92,2712,1
804.11,2727,1
807.31,2742,1
810.51,2756,1
813.7,2771,1
816.9,2785,1
820.1,2800,1
823.29,2815,1
826.49,2829,1
829.68,2844,1
832.88,2858,1
836.08,2873,1
839.28,2888,1
842.47,2902,1
845.67,2955,1
848.86,3004,1
852.06,2982,1
855.26,2963,1
858.46,2889,1
861.65,3024,1
864.85,3074,1
868.04,3063,1
871.24,2967,1
874.44,3046,1
877.63,2981,1
880.83,3075,1
884.03,3066,1
887.22,3097,1
890.42,3073,1
893.62,3227,1
896.81,3227,1
900.01,3221,1
903.21,3216,1
906.4,3210,1
909.6,3205,1
912.8,3199,1
915.99,3194,1
919.19,3188,1
922.39,3182,1
925.58,3176,1
928.78,3171,1
931.98,3164,1
935.17,3154,1
938.37,3143,1
941.57,3133,1
944.76,3125,1
947.96,3118,1
951.16,3111,1
954.35,3103,1
957.55,3095,1
960.75,3087,1
963.94,3078,1
967.14,3069,1
970.1,3058,1
975.54,3050,1
980.98,3036,1
986.42,3022,1
991.86,3009,1
997.3,2999,1
1002.74,3016,1
1008.18,3121,1
1013.62,3142,1
1019.06,3158,1
1024.5,3182,1
1029.95,3158,1
1035.39,3171,1
1040.83,3195,1
1046.27,3243,1
1051.71,3273,1
1057.15,3310,1
1062.59,3314,1
1068.03,3312,1
1073.47,3251,1
1078.91,3206,1
1084.35,3194,1
1089.79,3179,1
1095.23,3166,1
1100.67,3153,1
1106.11,3139,1
1111.55,3126,1
1116.99,3111,1
1122.43,3089,1
1127.87,3055,1
1133.32,3016,1
1138.76,2973,1
1144.2,2930,1
1149.64,2889,1
1155.08,2846,1
1160.52,2804,1
1165.96,2774,1
1171.4,2749,1
1176.84,2724,1
1182.28,2713,1
1187.72,2815,1
1193.16,2916,1
1198.6,2944,1
1204.04,3034,1
1209.48,3070,1
1214.92,3151,1
1220.36,3181,1
1225.8,3251,1
1231.24,3282,1
1236.69,3299,1
1242.13,3283,1
1247.57,3326,1
1253.01,3303,1
1258.45,3251,1
1263.89,3296,1
1269.33,3558,1
1274.77,3452,1
1280.21,3424,1
1285.65,3376,1
1291.09,3297,1
1296.53,3251,1
1301.97,3152,1
1307.41,3052,1
1312.85,2994,1
1318.29,2888,1
1323.73,2653,1
1329.17,2501,1
1334.61,2378,1
1340.06,2324,1
1345.5,2270,1
1350.94,2196,1
1356.38,2121,1
1361.82,2045,1
1367.26,1965,1
1372.7,1887,1
1378.14,1788,1
1383.58,1676,1
1389.02,1567,1
1394.46,1462,1
1399.9,1360,1
1405.34,1276,1
1410.78,1200,1
1416.22,1125,1
1421.66,1078,1
1427.1,1035,1
1432.54,997,1
1437.98,968,1
1443.43,939,1
1448.87,934,1
1454.31,936,1
1459.75,939,1
1465.19,953,1
1470.63,964,1
1476.07,960,1
1481.51,945,1
1486.95,1064,1
1492.39,1184,1
1497.83,1226,1
1503.27,1274,1
1508.71,1315,1
1514.15,1424,1
1519.59,1484,1
1525.03,1509,1
1530.47,1565,1
1535.91,1649,1
1541.35,1711,1
1546.8,1756,1
1552.24,1775,1
1557.68,1819,1
1563.12,1817,1
1568.56,1948,1
1574,1932,1
1579.44,1926,1
1584.88,1941,1
1590.32,1991,1
1595.76,1988,1
1601.2,2115,1
1606.64,2148,1
1612.08,2242,1
1617.52,2147,1
1622.96,2199,1
1628.4,2252,1
1633.84,2244,1
1639.28,2312,1
1644.72,2295,1
1650.17,2309,1
1655.61,2319,1
1661.05,2296,1
1666.49,2326,1
1671.93,2311,1
1677.37,2340,1
1682.81,2328,1
1688.25,2291,1
1693.69,2254,1
1699.13,2243,1
1704.57,2193,1
1710.01,2184,1
1715.45,2164,1
1720.89,2092,1
1726.33,2093,1
1731.77,2028,1
1737.21,2106,1
1742.65,1996,1
1748.09,2059,1
1753.54,1970,1
1758.98,1925,1
1764.42,1877,1
1769.86,1728,1
1775.3,1710,1
1780.74,1591,1
1786.18,1566,1
1791.62,1538,1
1797.06,1500,1
1802.5,1442,1
1807.94,1187,1
1813.38,941,1
1818.82,703,1
1824.26,472,1
