# Hyperspectral spectrum export
# Source: data\images\221000_Odra_HS_Blok_A_015_VS_join_atm.hdr
# Pixel: col=3677  row=764
# data ignore value: 15000.0
# reflectance scale factor: 10000.0
wavelength_nm,dn_value,valid
414.13,145,1
417.32,147,1
420.52,142,1
423.72,137,1
426.91,170,1
430.11,179,1
433.31,149,1
436.5,161,1
439.7,176,1
442.9,167,1
446.09,173,1
449.29,174,1
452.49,183,1
455.68,193,1
458.88,197,1
462.08,190,1
465.27,187,1
468.47,170,1
471.67,177,1
474.86,191,1
478.06,209,1
481.26,212,1
484.45,207,1
487.65,207,1
490.85,193,1
494.04,197,1
497.24,222,1
500.43,249,1
503.63,242,1
506.83,261,1
510.03,284,1
513.22,326,1
516.42,401,1
519.61,398,1
522.81,470,1
526.01,545,1
529.2,596,1
532.4,648,1
535.6,685,1
538.79,738,1
541.99,761,1
545.19,753,1
548.38,772,1
551.58,781,1
554.78,801,1
557.97,809,1
561.17,794,1
564.37,756,1
567.56,740,1
570.76,717,1
573.96,674,1
577.15,654,1
580.35,620,1
583.55,596,1
586.74,608,1
589.94,598,1
593.14,582,1
596.33,564,1
599.53,563,1
602.73,546,1
605.92,545,1
609.12,554,1
612.32,517,1
615.51,513,1
618.71,481,1
621.91,474,1
625.1,487,1
628.3,473,1
631.5,459,1
634.69,462,1
637.89,460,1
641.09,429,1
644.28,428,1
647.48,422,1
650.67,363,1
653.87,356,1
657.07,335,1
660.27,320,1
663.46,305,1
666.66,309,1
669.85,288,1
673.05,284,1
676.25,260,1
679.45,287,1
682.64,283,1
685.84,315,1
689.03,508,1
692.23,701,1
695.43,894,1
698.62,1087,1
701.82,1280,1
705.02,1473,1
708.21,1666,1
711.41,1859,1
714.61,2052,1
717.8,2245,1
721,2438,1
724.2,2631,1
727.39,2824,1
730.59,3017,1
733.79,3210,1
736.98,3403,1
740.18,3596,1
743.38,3756,1
746.57,3888,1
749.77,3973,1
752.97,4009,1
756.16,4045,1
759.36,4081,1
762.56,4117,1
765.75,4154,1
768.95,4190,1
772.15,4226,1
775.34,4290,1
778.54,4403,1
781.74,4418,1
784.93,4387,1
788.13,4403,1
791.33,4425,1
794.52,4447,1
797.72,4469,1
800.92,4491,1
804.11,4513,1
807.31,4536,1
810.51,4558,1
813.7,4580,1
816.9,4602,1
820.1,4624,1
823.29,4646,1
826.49,4668,1
829.68,4690,1
832.88,4712,1
836.08,4734,1
839.28,4756,1
842.47,4779,1
845.67,4754,1
848.86,4762,1
852.06,4818,1
855.26,4832,1
858.46,4621,1
861.65,4688,1
864.85,4924,1
868.04,5009,1
871.24,4688,1
874.44,4847,1
877.63,4793,1
880.83,4813,1
884.03,4902,1
887.22,4737,1
890.42,4765,1
893.62,4928,1
896.81,4936,1
900.01,4928,1
903.21,4923,1
906.4,4909,1
909.6,4899,1
912.8,4890,1
915.99,4876,1
919.19,4858,1
922.39,4836,1
925.58,4818,1
928.78,4800,1
931.98,4781,1
935.17,4746,1
938.37,4714,1
941.57,4686,1
944.76,4665,1
947.96,4637,1
951.16,4605,1
954.35,4576,1
957.55,4553,1
960.75,4534,1
963.94,4514,1
967.14,4495,1
970.1,4476,1
975.54,4461,1
980.98,4438,1
986.42,4425,1
991.86,4411,1
997.3,4390,1
1002.74,4412,1
1008.18,4586,1
1013.62,4636,1
1019.06,4663,1
1024.5,4682,1
1029.95,4676,1
1035.39,4707,1
1040.83,4747,1
1046.27,4862,1
1051.71,4884,1
1057.15,4948,1
1062.59,4944,1
1068.03,4957,1
1073.47,4832,1
1078.91,4786,1
1084.35,4794,1
1089.79,4698,1
1095.23,4646,1
1100.67,4611,1
1106.11,4564,1
1111.55,4516,1
1116.99,4454,1
1122.43,4382,1
1127.87,4307,1
1133.32,4212,1
1138.76,4077,1
1144.2,3937,1
1149.64,3817,1
1155.08,3721,1
1160.52,3635,1
1165.96,3562,1
1171.4,3503,1
1176.84,3450,1
