# Hyperspectral spectrum export
# Source: data\images\221000_Odra_HS_Blok_A_008_VS_join_atm.hdr
# Pixel: col=881  row=1429
# data ignore value: 15000.0
# reflectance scale factor: 10000.0
wavelength_nm,dn_value,valid
414.13,164,1
417.32,178,1
420.52,212,1
423.72,243,1
426.91,220,1
430.11,257,1
433.31,222,1
436.5,265,1
439.7,265,1
442.9,243,1
446.09,250,1
449.29,264,1
452.49,234,1
455.68,252,1
458.88,251,1
462.08,259,1
465.27,256,1
468.47,259,1
471.67,250,1
474.86,255,1
478.06,270,1
481.26,279,1
484.45,287,1
487.65,284,1
490.85,282,1
494.04,279,1
497.24,300,1
500.43,321,1
503.63,309,1
506.83,346,1
510.03,377,1
513.22,397,1
516.42,445,1
519.61,440,1
522.81,492,1
526.01,526,1
529.2,532,1
532.4,591,1
535.6,623,1
538.79,640,1
541.99,660,1
545.19,665,1
548.38,681,1
551.58,672,1
554.78,690,1
557.97,721,1
561.17,707,1
564.37,669,1
567.56,676,1
570.76,663,1
573.96,651,1
577.15,609,1
580.35,600,1
583.55,597,1
586.74,609,1
589.94,595,1
593.14,594,1
596.33,578,1
599.53,588,1
602.73,608,1
605.92,610,1
609.12,590,1
612.32,585,1
615.51,570,1
618.71,554,1
621.91,568,1
625.1,573,1
628.3,547,1
631.5,569,1
634.69,573,1
637.89,566,1
641.09,561,1
644.28,547,1
647.48,540,1
650.67,515,1
653.87,496,1
657.07,503,1
660.27,477,1
663.46,466,1
666.66,462,1
669.85,463,1
673.05,461,1
676.25,463,1
679.45,465,1
682.64,456,1
685.84,517,1
689.03,650,1
692.23,782,1
695.43,915,1
698.62,1047,1
701.82,1179,1
705.02,1312,1
708.21,1444,1
711.41,1577,1
714.61,1709,1
717.8,1841,1
721,1974,1
724.2,2106,1
727.39,2239,1
730.59,2371,1
733.79,2503,1
736.98,2636,1
740.18,2768,1
743.38,2843,1
746.57,2945,1
749.77,3020,1
752.97,3051,1
756.16,3082,1
759.36,3113,1
762.56,3144,1
765.75,3175,1
768.95,3206,1
772.15,3237,1
775.34,3310,1
778.54,3381,1
781.74,3347,1
784.93,3387,1
788.13,3353,1
791.33,3379,1
794.52,3404,1
797.72,3430,1
800.92,3456,1
804.11,3482,1
807.31,3507,1
810.51,3533,1
813.7,3559,1
816.9,3585,1
820.1,3610,1
823.29,3636,1
826.49,3662,1
829.68,3688,1
832.88,3714,1
836.08,3739,1
839.28,3765,1
842.47,3791,1
845.67,3746,1
848.86,3864,1
852.06,3762,1
855.26,3659,1
858.46,3742,1
861.65,3735,1
864.85,3986,1
868.04,3838,1
871.24,3736,1
874.44,3764,1
