# Hyperspectral spectrum export
# Source: data\images\221000_Odra_HS_Blok_A_015_VS_join_atm.hdr
# Pixel: col=3365  row=174
# data ignore value: 15000.0
# reflectance scale factor: 10000.0
wavelength_nm,dn_value,valid
414.13,188,1
417.32,208,1
420.52,207,1
423.72,193,1
426.91,222,1
430.11,286,1
433.31,261,1
436.5,256,1
439.7,278,1
442.9,247,1
446.09,278,1
449.29,273,1
452.49,272,1
455.68,267,1
458.88,296,1
462.08,287,1
465.27,291,1
468.47,265,1
471.67,285,1
474.86,290,1
478.06,310,1
481.26,302,1
484.45,317,1
487.65,308,1
490.85,311,1
494.04,314,1
497.24,325,1
500.43,355,1
503.63,326,1
506.83,346,1
510.03,365,1
513.22,406,1
516.42,458,1
519.61,437,1
522.81,462,1
526.01,542,1
529.2,553,1
532.4,643,1
535.6,625,1
538.79,655,1
541.99,697,1
545.19,683,1
548.38,691,1
551.58,686,1
554.78,706,1
557.97,711,1
561.17,717,1
564.37,683,1
567.56,657,1
570.76,683,1
573.96,630,1
577.15,626,1
580.35,611,1
583.55,580,1
586.74,602,1
589.94,603,1
593.14,600,1
596.33,583,1
599.53,575,1
602.73,590,1
605.92,591,1
609.12,578,1
612.32,569,1
615.51,583,1
618.71,560,1
621.91,581,1
625.1,583,1
628.3,568,1
631.5,560,1
634.69,560,1
637.89,570,1
641.09,576,1
644.28,565,1
647.48,601,1
650.67,547,1
653.87,545,1
657.07,549,1
660.27,502,1
663.46,537,1
666.66,503,1
669.85,506,1
673.05,492,1
676.25,486,1
679.45,510,1
682.64,509,1
685.84,581,1
689.03,701,1
692.23,821,1
695.43,940,1
698.62,1060,1
701.82,1180,1
705.02,1299,1
708.21,1419,1
711.41,1539,1
714.61,1658,1
717.8,1778,1
721,1898,1
724.2,2018,1
727.39,2137,1
730.59,2257,1
733.79,2377,1
736.98,2496,1
740.18,2616,1
743.38,2752,1
746.57,2860,1
749.77,2975,1
752.97,2997,1
756.16,3020,1
759.36,3042,1
762.56,3064,1
765.75,3086,1
768.95,3108,1
772.15,3130,1
775.34,3205,1
778.54,3231,1
781.74,3219,1
784.93,3269,1
788.13,3262,1
791.33,3287,1
794.52,3311,1
797.72,3336,1
800.92,3360,1
804.11,3385,1
807.31,3409,1
810.51,3433,1
813.7,3458,1
816.9,3482,1
820.1,3507,1
823.29,3531,1
826.49,3555,1
829.68,3580,1
832.88,3604,1
836.08,3629,1
839.28,3653,1
842.47,3678,1
845.67,3539,1
848.86,3693,1
852.06,3551,1
855.26,3692,1
858.46,3508,1
861.65,3579,1
864.85,3794,1
868.04,3606,1
871.24,3557,1
874.44,3510,1
877.63,3723,1
880.83,3668,1
884.03,3735,1
887.22,3629,1
890.42,3672,1
893.62,3843,1
896.81,3846,1
900.01,3843,1
903.21,3841,1
906.4,3835,1
909.6,3831,1
912.8,3827,1
915.99,3822,1
919.19,3815,1
922.39,3806,1
925.58,3799,1
928.78,3792,1
931.98,3784,1
935.17,3767,1
938.37,3752,1
941.57,3737,1
944.76,3727,1
947.96,3715,1
951.16,3702,1
954.35,3690,1
957.55,3679,1
960.75,3670,1
963.94,3660,1
967.14,3649,1
970.1,3638,1
975.54,3630,1
980.98,3617,1
986.42,3608,1
991.86,3599,1
997.3,3591,1
1002.74,3618,1
1008.18,3671,1
1013.62,3756,1
1019.06,3850,1
1024.5,3855,1
1029.95,3801,1
1035.39,3772,1
1040.83,3803,1
1046.27,3872,1
1051.71,3954,1
1057.15,4029,1
1062.59,4062,1
1068.03,4097,1
1073.47,3966,1
1078.91,3972,1
1084.35,3965,1
1089.79,3917,1
1095.23,3886,1
1100.67,3862,1
1106.11,3833,1
1111.55,3804,1
1116.99,3768,1
1122.43,3723,1
1127.87,3669,1
1133.32,3602,1
1138.76,3517,1
1144.2,3431,1
1149.64,3354,1
1155.08,3283,1
1160.52,3219,1
1165.96,3168,1
1171.4,3127,1
1176.84,3088,1
1182.28,3064,1
1187.72,3163,1
1193.16,3262,1
