class,414.1,417.3,420.5,423.7,426.9,430.1,433.3,436.5,439.7,442.9,446.1,449.3,452.5,455.7,458.9,462.1,465.3,468.5,471.7,474.9,478.1,481.3,484.4,487.6,490.9,494.0,497.2,500.4,503.6,506.8,510.0,513.2,516.4,519.6,522.8,526.0,529.2,532.4,535.6,538.8,542.0,545.2,548.4,551.6,554.8,558.0,561.2,564.4,567.6,570.8,574.0,577.1,580.4,583.5,586.7,589.9,593.1,596.3,599.5,602.7,605.9,609.1,612.3,615.5,618.7,621.9,625.1,628.3,631.5,634.7,637.9,641.1,644.3,647.5,650.7,653.9,657.1,660.3,663.5,666.7,669.9,673.0,676.2,679.5,682.6,685.8,689.0,692.2,695.4,698.6,701.8,705.0,708.2,711.4,714.6,717.8,721.0,724.2,727.4,730.6,733.8,737.0,740.2,743.4,746.6,749.8,753.0,756.2,759.4,762.6,765.8,769.0,772.1,775.3,778.5,781.7,784.9,788.1,791.3,794.5,797.7,800.9,804.1,807.3,810.5,813.7,816.9,820.1,823.3,826.5,829.7,832.9,836.1,839.3,842.5,845.7,848.9,852.1,855.3,858.5,861.6,864.9,868.0,871.2,874.4,877.6,880.8,884.0,887.2,890.4,893.6,896.8,900.0,903.2,906.4,909.6,912.8,916.0,919.2,922.4,925.6,928.8,932.0,935.2,938.4,941.6,944.8,948.0,951.2,954.4,957.5,960.8,963.9,967.1,970.1,975.5,981.0,986.4,991.9,997.3,1002.7,1008.2,1013.6,1019.1,1024.5,1030.0,1035.4,1040.8,1046.3,1051.7,1057.2,1062.6,1068.0,1073.5,1078.9,1084.3,1089.8,1095.2,1100.7,1106.1,1111.5,1117.0,1122.4,1127.9,1133.3,1138.8,1144.2,1149.6,1155.1,1160.5,1166.0,1171.4,1176.8,1182.3,1187.7,1193.2,1198.6,1204.0,1209.5,1214.9,1220.4,1225.8,1231.2,1236.7,1242.1,1247.6,1253.0,1258.5,1263.9,1269.3,1274.8,1280.2,1285.7,1291.1,1296.5,1302.0,1307.4,1312.8,1318.3,1323.7,1329.2,1334.6,1340.1,1345.5,1350.9,1356.4,1361.8,1367.3,1372.7,1378.1,1383.6,1389.0,1394.5,1399.9,1405.3,1410.8,1416.2,1421.7,1427.1,1432.5,1438.0,1443.4,1448.9,1454.3,1459.8,1465.2,1470.6,1476.1,1481.5,1487.0,1492.4,1497.8,1503.3,1508.7,1514.2,1519.6,1525.0,1530.5,1535.9,1541.3,1546.8,1552.2,1557.7,1563.1,1568.6,1574.0,1579.4,1584.9,1590.3,1595.8,1601.2,1606.6,1612.1,1617.5,1623.0,1628.4,1633.8,1639.3,1644.7,1650.2,1655.6,1661.0,1666.5,1671.9,1677.4,1682.8,1688.2,1693.7,1699.1,1704.6,1710.0,1715.5,1720.9,1726.3,1731.8,1737.2,1742.7,1748.1,1753.5,1759.0,1764.4,1769.9,1775.3,1780.7,1786.2,1791.6,1797.1,1802.5,1807.9,1813.4,1818.8,1824.3,1829.7,1835.1,1840.6,1846.0,1851.5,1856.9,1862.3,1867.8,1873.2,1878.7,1884.1,1889.5,1895.0,1900.4,1905.9,1911.3,1916.8,1922.2,1927.6,1933.1,1938.5,1944.0,1949.4,1954.8,1960.3,1965.7,1971.2,1976.6,1982.0,1987.5,1992.9,1998.4,2003.8,2009.2,2014.7,2020.1,2025.6,2031.0,2036.4,2041.9,2047.3,2052.8,2058.2,2063.7,2069.1,2074.5,2080.0,2085.4,2090.8,2096.3,2101.7,2107.2,2112.6,2118.1,2123.5,2128.9,2134.4,2139.8,2145.2,2150.7,2156.1,2161.6,2167.0,2172.5,2177.9,2183.3,2188.8,2194.2,2199.7,2205.1,2210.5,2216.0,2221.4,2226.9,2232.3,2237.7,2243.2,2248.6,2254.1,2259.5,2264.9,2270.4,2275.8,2281.3,2286.7,2292.2,2297.6,2303.0,2308.5,2313.9,2319.3,2324.8,2330.2,2335.7,2341.1,2346.6,2352.0,2357.4,2362.9,2368.3,2373.8,2379.2,2384.6,2390.1,2395.5,2401.0,2406.4,2411.8,2417.3,2422.7,2428.2,2433.6,2439.0,2444.5,2449.9,2455.4,2460.8,2466.2,2471.7,2477.1,2482.6,2488.0,2493.4,2498.9
water,0.1716,0.1797,0.1762,0.1789,0.1965,0.2005,0.1813,0.1995,0.208,0.2013,0.2081,0.2022,0.2072,0.1997,0.2129,0.2033,0.2016,0.2008,0.2052,0.2115,0.2222,0.2274,0.2286,0.2254,0.228,0.2429,0.2547,0.266,0.2594,0.2618,0.2696,0.2759,0.2848,0.2774,0.28,0.2983,0.2968,0.314,0.3151,0.3273,0.3229,0.3174,0.3216,0.3201,0.3188,0.3301,0.3163,0.3156,0.3224,0.3224,0.3152,0.3152,0.3163,0.3225,0.3275,0.3303,0.321,0.3193,0.3211,0.3254,0.3297,0.3272,0.3219,0.3269,0.3208,0.3239,0.3304,0.3297,0.3271,0.327,0.3283,0.3358,0.3359,0.3482,0.3348,0.3355,0.3339,0.3166,0.3324,0.3319,0.3354,0.336,0.3359,0.3312,0.329,0.2175,0.2159,0.2144,0.2128,0.2113,0.2097,0.2082,0.2066,0.2099,0.209,0.208,0.2071,0.2061,0.2052,0.2042,0.2033,0.2023,0.2014,0.3088,0.3148,0.2082,0.2118,0.2139,0.2167,0.2196,0.2224,0.2253,0.2281,0.3257,0.3257,0.3199,0.313,0.2388,0.2397,0.2406,0.2415,0.2424,0.2433,0.2442,0.2451,0.246,0.2469,0.2478,0.2488,0.2497,0.2506,0.2515,0.2524,0.2533,0.2542,0.2863,0.2929,0.2848,0.2829,0.2686,0.2847,0.2888,0.2748,0.2738,0.2731,0.2823,0.2798,0.2833,0.2838,0.2846,0.2942,0.2708,0.2706,0.2704,0.2704,0.2703,0.2702,0.2702,0.2703,0.2704,0.2705,0.2773,0.2795,0.2737,0.2733,0.2733,0.2713,0.2715,0.2675,0.2613,0.2549,0.2513,0.2471,0.239,0.2308,0.2272,0.2253,0.2243,0.2273,0.2307,0.2343,0.2185,0.2228,0.2291,0.2286,0.2303,0.2293,0.2324,0.2397,0.2462,0.2594,0.2649,0.2678,0.2709,0.28,0.2549,0.2534,0.2508,0.2476,0.2446,0.2418,0.2392,0.2365,0.2333,0.2304,0.2302,0.2358,0.2411,0.2455,0.2466,0.246,0.2451,0.2442,0.2436,0.2457,0.2478,0.348,0.335,0.3446,0.3416,0.349,0.3516,0.3582,0.3767,0.3876,0.3925,0.3961,0.404,0.4053,0.3973,0.3797,0.3923,0.3861,0.3929,0.3958,0.3984,0.3902,0.3972,0.3721,0.3783,0.4421,0.3667,0.3594,0.3516,0.3434,0.3351,0.3269,0.3189,0.3113,0.3041,0.2974,0.291,0.2849,0.279,0.2731,0.2673,0.2615,0.2557,0.25,0.2444,0.239,0.2341,0.2305,0.2272,0.224,0.2209,0.2177,0.2143,0.2106,0.2062,0.2019,0.277,0.3103,0.2978,0.3355,0.3374,0.3509,0.3491,0.3651,0.3691,0.3737,0.3683,0.3688,0.3627,0.3799,0.3654,0.3573,0.3598,0.3633,0.362,0.3713,0.3618,0.3641,0.3547,0.3591,0.3629,0.3568,0.3569,0.3488,0.3462,0.3367,0.3332,0.3262,0.3184,0.3286,0.3361,0.3299,0.3348,0.3408,0.31,0.2792,0.2581,0.2454,0.2282,0.2282,0.273,0.2909,0.2958,0.2847,0.2694,0.2748,0.2624,0.2867,0.2698,0.2688,0.2675,0.266,0.2744,0.2726,0.2708,0.269,0.2673,0.2657,0.2643,0.2632,0.2621,0.2613,0.2606,0.2601,0.2595,0.2589,0.2583,0.2578,0.2572,0.2566,0.2561,0.2556,0.2552,0.255,0.2548,0.2549,0.2551,0.2555,0.256,0.2567,0.2574,0.2582,0.2589,0.2595,0.2599,0.2601,0.2598,0.2595,0.2399,0.376,0.2955,0.3649,0.3641,0.342,0.3464,0.333,0.3415,0.3185,0.3358,0.329,0.3402,0.3475,0.3615,0.346,0.3497,0.3468,0.3443,0.3513,0.3426,0.3417,0.3264,0.3122,0.3257,0.3104,0.3075,0.3021,0.3094,0.31,0.3106,0.3361,0.3324,0.3106,0.3073,0.3336,0.3118,0.3246,0.3245,0.3071,0.3058,0.2915,0.2876,0.2757,0.2627,0.2468,0.2275,0.2198,0.2135,0.2072,0.2066,0.1918,0.1846,0.1842,0.1731,0.17,0.1592,0.1579,0.1477,0.1894,0.1883,0.1743,0.155,0.1601,0.1434,0.1841,0.1821,0.1461,0.1636,0.1669,0.1539,0.1836,0.1823,0.1657,0.1516,0.1658,0.1444,0.2316,0.1981,0.163,0.2017,0.1621,0.1365,0.2965,0.214,0.1725,0.1835,0.2254,0.1344,0.3245,0.4742,1.0074,0.2629
vegetation,0.0156,0.0161,0.0174,0.0166,0.0182,0.0201,0.0159,0.0178,0.0179,0.0176,0.0182,0.0168,0.0178,0.0171,0.0181,0.0176,0.0175,0.0169,0.0167,0.0171,0.0183,0.0188,0.019,0.0191,0.0173,0.0177,0.0193,0.0203,0.0189,0.0198,0.0208,0.0223,0.0247,0.0248,0.0253,0.0298,0.0303,0.0331,0.0359,0.0383,0.0375,0.0382,0.0386,0.0392,0.0398,0.0422,0.0385,0.0371,0.0361,0.0345,0.032,0.0309,0.0291,0.0287,0.0288,0.0293,0.0275,0.0272,0.0258,0.0269,0.0266,0.0262,0.0247,0.0247,0.0235,0.024,0.0239,0.0233,0.023,0.0236,0.0231,0.0231,0.0221,0.0231,0.0207,0.0209,0.0208,0.0191,0.0198,0.0188,0.0187,0.0189,0.019,0.019,0.019,0.0214,0.0385,0.0555,0.0726,0.0896,0.1065,0.1229,0.1393,0.1557,0.1721,0.1886,0.205,0.2214,0.2378,0.2542,0.2706,0.287,0.3035,0.3305,0.362,0.3836,0.3919,0.4002,0.4085,0.4168,0.4251,0.4334,0.4421,0.4516,0.4569,0.454,0.4615,0.4631,0.4653,0.4675,0.4696,0.4718,0.474,0.4761,0.4783,0.4805,0.4816,0.4827,0.4837,0.4847,0.4858,0.4868,0.4879,0.4903,0.4933,0.4989,0.5099,0.5042,0.5046,0.4926,0.5007,0.5313,0.508,0.4972,0.5023,0.4965,0.5091,0.5188,0.5205,0.516,0.5344,0.5356,0.5304,0.5277,0.5239,0.5204,0.5202,0.5208,0.5206,0.52,0.517,0.514,0.5109,0.5056,0.5018,0.4989,0.4932,0.4865,0.4793,0.4748,0.4685,0.4622,0.4584,0.4554,0.4525,0.4502,0.4463,0.4436,0.4409,0.437,0.4372,0.4386,0.4485,0.4581,0.4625,0.4586,0.4564,0.4569,0.4653,0.4764,0.4905,0.4909,0.4945,0.4798,0.4825,0.4846,0.473,0.4672,0.4636,0.4585,0.4531,0.4461,0.4382,0.4304,0.4202,0.4051,0.3894,0.3761,0.3661,0.3572,0.3494,0.3433,0.3378,0.3332,0.3376,0.342,0.3646,0.3505,0.3612,0.3569,0.3688,0.3767,0.3823,0.3925,0.4002,0.4045,0.4134,0.4243,0.4303,0.4119,0.3951,0.4107,0.4074,0.4105,0.4123,0.4076,0.3924,0.3858,0.3525,0.3479,0.3904,0.3702,0.3555,0.3411,0.3219,0.3029,0.2852,0.2696,0.2544,0.2348,0.2121,0.1897,0.1685,0.1484,0.1329,0.1189,0.1059,0.0974,0.0898,0.0831,0.0785,0.0738,0.0705,0.0673,0.064,0.0621,0.0592,0.0567,0.0533,0.0534,0.0535,0.0601,0.0695,0.071,0.0828,0.0882,0.0964,0.1008,0.109,0.1165,0.1229,0.1282,0.1348,0.1376,0.1481,0.1466,0.1461,0.1499,0.156,0.1557,0.1655,0.167,0.1729,0.1712,0.1768,0.1796,0.1811,0.1849,0.1842,0.1837,0.1858,0.1858,0.1876,0.1864,0.1887,0.187,0.1856,0.1825,0.179,0.1756,0.1724,0.1699,0.1672,0.162,0.1571,0.1633,0.1559,0.1567,0.1517,0.1454,0.1457,0.1288,0.1324,0.1236,0.1191,0.1148,0.1106,0.105,0.0861,0.068,0.0507,0.0342,0.0301,0.028,0.0259,0.0239,0.0223,0.0212,0.0202,0.0192,0.0182,0.0171,0.016,0.015,0.014,0.013,0.0129,0.0127,0.0125,0.0124,0.0124,0.0124,0.0123,0.0122,0.0121,0.0122,0.0121,0.0119,0.0114,0.0107,0.01,0.0141,0.0182,0.0174,0.0353,0.0252,0.029,0.0302,0.031,0.0333,0.0336,0.0349,0.0333,0.0368,0.0387,0.0407,0.0426,0.0478,0.0455,0.0475,0.0484,0.0496,0.0521,0.0507,0.0529,0.0541,0.0568,0.058,0.058,0.0581,0.0589,0.0603,0.0612,0.0622,0.064,0.0636,0.061,0.0635,0.0652,0.0666,0.0701,0.0718,0.071,0.0708,0.0685,0.0706,0.068,0.0668,0.0656,0.0613,0.0603,0.0567,0.0566,0.0546,0.0542,0.0514,0.0496,0.049,0.0468,0.047,0.0455,0.0399,0.044,0.042,0.0376,0.0358,0.0334,0.0302,0.0338,0.0346,0.0272,0.0261,0.0268,0.024,0.0289,0.0249,0.0239,0.0194,0.0228,0.0216,0.0231,0.0192,0.016,0.0324,0.0194,0.0326,0.077,0.0329,0.0371,0.0491,0.0802,0.0693,0.2593,0.3962,0.703,0.2117
forest,0.0149,0.0152,0.0152,0.0157,0.0172,0.0184,0.0152,0.0162,0.0171,0.0164,0.0167,0.0161,0.0168,0.0157,0.0169,0.0158,0.016,0.0153,0.0156,0.0161,0.0165,0.0172,0.0171,0.0164,0.0161,0.0156,0.0172,0.018,0.017,0.0182,0.0184,0.0189,0.0215,0.0208,0.022,0.0246,0.0245,0.0265,0.0279,0.0296,0.0295,0.0301,0.0307,0.0308,0.0308,0.0317,0.0297,0.0299,0.0283,0.0278,0.0262,0.0254,0.0237,0.0237,0.0244,0.0238,0.0229,0.023,0.0232,0.0235,0.0225,0.0223,0.0213,0.0213,0.0206,0.0204,0.0204,0.0204,0.02,0.02,0.0202,0.0199,0.02,0.0199,0.0185,0.0185,0.0184,0.0167,0.0173,0.0173,0.017,0.0171,0.017,0.0171,0.0173,0.0199,0.0313,0.043,0.0556,0.0676,0.0788,0.0906,0.1025,0.1144,0.1264,0.1384,0.1504,0.1624,0.1744,0.1864,0.1984,0.2103,0.2223,0.2422,0.26,0.2711,0.2767,0.2829,0.2894,0.2965,0.3034,0.3095,0.3155,0.3212,0.3262,0.3252,0.3287,0.3294,0.3306,0.3319,0.3331,0.3343,0.3355,0.3367,0.3379,0.3392,0.3404,0.3416,0.3428,0.344,0.3453,0.3465,0.3477,0.3489,0.3501,0.3531,0.3607,0.3542,0.3523,0.3466,0.3557,0.3712,0.3541,0.3512,0.3519,0.3536,0.3573,0.3659,0.3664,0.3572,0.3715,0.3723,0.3716,0.3712,0.3705,0.3705,0.3705,0.3702,0.3688,0.3661,0.3664,0.3657,0.3641,0.3611,0.3585,0.3539,0.354,0.3519,0.347,0.3415,0.3383,0.3367,0.335,0.3334,0.3318,0.3306,0.3287,0.3277,0.3266,0.3259,0.3293,0.3271,0.3365,0.3457,0.3468,0.348,0.3439,0.3446,0.3503,0.3573,0.368,0.3683,0.3722,0.3618,0.3607,0.3624,0.3541,0.3501,0.3476,0.3441,0.3404,0.3361,0.3309,0.3253,0.318,0.3071,0.2958,0.2862,0.2787,0.2721,0.2664,0.2618,0.2578,0.2545,0.2583,0.2621,0.2779,0.2676,0.2758,0.272,0.2807,0.2884,0.2913,0.3008,0.3068,0.3094,0.3154,0.3254,0.3272,0.3167,0.3026,0.3154,0.3092,0.3141,0.3128,0.3134,0.304,0.2986,0.2749,0.2702,0.3074,0.2912,0.2793,0.2676,0.2521,0.2367,0.2225,0.21,0.1978,0.1821,0.1643,0.1474,0.1314,0.1162,0.1043,0.0937,0.0836,0.0767,0.0704,0.065,0.0614,0.0577,0.0551,0.0527,0.0503,0.0488,0.0464,0.0436,0.04,0.0399,0.0401,0.0447,0.0522,0.0526,0.0607,0.0649,0.0697,0.0741,0.0799,0.0846,0.0885,0.0932,0.0962,0.0983,0.1074,0.1065,0.1052,0.1097,0.1133,0.1143,0.1214,0.1241,0.1277,0.1243,0.1275,0.1324,0.1333,0.136,0.1359,0.1349,0.137,0.1388,0.137,0.137,0.1379,0.1398,0.1356,0.1338,0.1326,0.1301,0.1256,0.1254,0.124,0.1191,0.1166,0.1195,0.1156,0.1139,0.1119,0.1082,0.107,0.0973,0.0996,0.0926,0.0895,0.0864,0.0832,0.079,0.0647,0.0511,0.0381,0.0257,0.0227,0.0212,0.0198,0.0184,0.0172,0.0164,0.0156,0.0149,0.0142,0.0134,0.0126,0.0119,0.0111,0.0104,0.0103,0.0101,0.0099,0.0097,0.0096,0.0096,0.0094,0.0093,0.0092,0.0095,0.0096,0.0096,0.0093,0.0088,0.0082,0.0117,0.0151,0.0138,0.0255,0.0176,0.0223,0.023,0.0245,0.026,0.0258,0.0264,0.0257,0.0285,0.0285,0.0305,0.0314,0.0338,0.0339,0.0347,0.035,0.0352,0.037,0.0368,0.0392,0.0393,0.0395,0.0414,0.0413,0.0427,0.0424,0.0439,0.044,0.0447,0.0454,0.0459,0.0448,0.0468,0.0489,0.0479,0.0495,0.0508,0.0522,0.0511,0.0502,0.0511,0.0502,0.0495,0.0465,0.0453,0.0443,0.0435,0.0408,0.0415,0.0393,0.0386,0.0372,0.0347,0.0356,0.0348,0.0318,0.0298,0.0318,0.0306,0.0291,0.0265,0.0269,0.0242,0.0277,0.0264,0.0217,0.0239,0.0226,0.0206,0.0229,0.0238,0.0222,0.0182,0.0194,0.0182,0.0241,0.0166,0.0164,0.0273,0.0182,0.0337,0.0547,0.0279,0.0289,0.0407,0.0811,0.0701,0.2653,0.4043,0.7181,0.2159
bare_soil,0.0387,0.0376,0.0381,0.0384,0.0391,0.0421,0.0354,0.0376,0.0378,0.0357,0.0359,0.0343,0.0353,0.0342,0.0359,0.0348,0.0341,0.0328,0.033,0.0338,0.0354,0.0358,0.0355,0.0353,0.0349,0.0345,0.0372,0.0374,0.0349,0.0367,0.0376,0.0393,0.042,0.0402,0.0398,0.0415,0.0413,0.0436,0.0423,0.0445,0.0447,0.0441,0.0446,0.0455,0.0459,0.0464,0.0466,0.0442,0.0455,0.0478,0.0488,0.0493,0.0484,0.0537,0.0652,0.0767,0.0862,0.0964,0.1059,0.1186,0.1315,0.1392,0.1517,0.1639,0.1698,0.1746,0.1828,0.1846,0.1863,0.1903,0.1931,0.1977,0.2002,0.2077,0.2056,0.2045,0.2074,0.1992,0.2094,0.2125,0.2145,0.2172,0.2161,0.2147,0.2154,0.2362,0.2386,0.241,0.2435,0.2459,0.2483,0.2507,0.2531,0.2543,0.2552,0.2562,0.2571,0.2581,0.259,0.2599,0.2662,0.2675,0.2691,0.2725,0.2779,0.278,0.2769,0.2781,0.2811,0.2842,0.2872,0.2903,0.2885,0.2968,0.2979,0.295,0.292,0.2936,0.2922,0.2908,0.2894,0.2884,0.2886,0.2888,0.2888,0.2881,0.2874,0.2867,0.2871,0.2885,0.2901,0.2903,0.2905,0.2907,0.2893,0.2886,0.2923,0.2873,0.2874,0.2754,0.2821,0.2934,0.2837,0.2804,0.284,0.2798,0.2863,0.2858,0.2911,0.2888,0.292,0.2918,0.2933,0.2923,0.2938,0.2952,0.2966,0.2981,0.2998,0.3015,0.3032,0.3048,0.3064,0.3081,0.3093,0.3103,0.3064,0.3084,0.3074,0.3057,0.3038,0.3018,0.2998,0.3028,0.3059,0.3087,0.3088,0.3071,0.3113,0.313,0.317,0.3226,0.3265,0.3293,0.3331,0.3322,0.3311,0.3329,0.337,0.341,0.3455,0.3476,0.3475,0.3427,0.335,0.337,0.3393,0.3389,0.338,0.3371,0.3363,0.3355,0.337,0.3383,0.34,0.3429,0.3461,0.3487,0.3502,0.3514,0.3505,0.352,0.3533,0.3552,0.3613,0.3679,0.3697,0.3791,0.3837,0.3981,0.3979,0.4097,0.4125,0.4126,0.4115,0.4145,0.4139,0.4061,0.4101,0.4423,0.4308,0.4302,0.4258,0.4159,0.4129,0.4047,0.3923,0.3926,0.3823,0.3666,0.3437,0.3442,0.3441,0.3434,0.3422,0.3408,0.3394,0.3382,0.3373,0.3367,0.3367,0.3369,0.3375,0.3383,0.3392,0.3401,0.341,0.3419,0.343,0.3442,0.3458,0.3477,0.3501,0.3529,0.3561,0.3595,0.3629,0.3661,0.3688,0.3706,0.3723,0.3694,0.3748,0.3744,0.3951,0.3976,0.4038,0.4043,0.4134,0.4192,0.4213,0.4218,0.4256,0.4192,0.434,0.4277,0.4245,0.4222,0.4243,0.4169,0.4361,0.4358,0.4496,0.4255,0.4312,0.435,0.4302,0.4367,0.436,0.4312,0.4334,0.43,0.4295,0.4312,0.4289,0.4308,0.4206,0.4221,0.4152,0.4141,0.4127,0.4111,0.4064,0.4071,0.3953,0.4153,0.405,0.4145,0.4095,0.4066,0.4036,0.3762,0.3727,0.372,0.371,0.3695,0.3677,0.3656,0.3633,0.3611,0.3588,0.3567,0.3547,0.353,0.3515,0.3503,0.3493,0.3485,0.3479,0.3474,0.3469,0.3465,0.3461,0.3457,0.3453,0.345,0.3447,0.3445,0.3445,0.3447,0.3451,0.3458,0.3467,0.3478,0.3497,0.3518,0.354,0.3561,0.358,0.3597,0.361,0.3618,0.3625,0.3724,0.4246,0.351,0.3792,0.3458,0.3671,0.3796,0.3961,0.4044,0.4061,0.4165,0.3846,0.3991,0.3836,0.3941,0.3896,0.3987,0.4021,0.4001,0.3972,0.3963,0.3982,0.394,0.3897,0.3904,0.3902,0.3878,0.3908,0.4014,0.3863,0.3915,0.3863,0.3857,0.3825,0.384,0.3763,0.3865,0.3874,0.3747,0.3728,0.3883,0.3824,0.3742,0.3624,0.3574,0.3524,0.3292,0.3163,0.3068,0.2984,0.2946,0.2972,0.2907,0.296,0.297,0.2885,0.2748,0.2901,0.3068,0.3051,0.2731,0.2873,0.2926,0.2954,0.2771,0.2732,0.2646,0.2838,0.3371,0.2787,0.2916,0.2967,0.2492,0.2675,0.2779,0.297,0.3053,0.3198,0.2371,0.2584,0.4411,0.2278,0.4567,0.3568,0.1665,0.3422,0.3104,0.3965,0.2999,0.6085,0.4422,0.5507,0.211
