wavelength_nm,reflectance
1867.79,0.0149
1873.23,0.0142
1878.67,0.0134
1884.11,0.0126
1889.55,0.0119
1894.99,0.0111
1900.43,0.0104
1905.87,0.0103
1911.31,0.0101
1916.75,0.0099
1922.19,0.0097
1927.63,0.0096
1933.07,0.0096
1938.51,0.0094
1943.95,0.0093
1949.39,0.0092
1954.83,0.0095
1960.28,0.0096
1965.72,0.0096
1971.16,0.0093
1976.6,0.0088
1982.04,0.0082
1987.48,0.0117
1992.92,0.0151
1998.36,0.0138
2003.8,0.0255
2009.24,0.0176
2014.68,0.0223
2020.12,0.023
2025.56,0.0245
2031.0,0.026
2036.44,0.0258
2041.88,0.0264
2047.32,0.0257
2052.76,0.0285
2058.2,0.0285
2063.65,0.0305
2069.09,0.0314
2074.53,0.0338
2079.97,0.0339
2085.41,0.0347
2090.85,0.035
2096.29,0.0352
2101.73,0.037
2107.17,0.0368
2112.61,0.0392
2118.05,0.0393
2123.49,0.0395
2128.93,0.0414
2134.37,0.0413
2139.81,0.0427
2145.25,0.0424
2150.69,0.0439
2156.13,0.044
2161.57,0.0447
2167.02,0.0454
2172.46,0.0459
2177.9,0.0448
2183.34,0.0468
2188.78,0.0489
2194.22,0.0479
2199.66,0.0495
2205.1,0.0508
2210.54,0.0522
2215.98,0.0511
2221.42,0.0502
2226.86,0.0511
2232.3,0.0502
2237.74,0.0495
2243.18,0.0465
2248.62,0.0453
2254.06,0.0443
2259.5,0.0435
2264.94,0.0408
2270.39,0.0415
2275.83,0.0393
2281.27,0.0386
2286.71,0.0372
2292.15,0.0347
2297.59,0.0356
2303.03,0.0348
2308.47,0.0318
2313.91,0.0298
2319.35,0.0318
2324.79,0.0306
2330.23,0.0291
2335.67,0.0265
2341.11,0.0269
2346.55,0.0242
2351.99,0.0277
2357.43,0.0264
2362.87,0.0217
2368.32,0.0239
2373.76,0.0226
2379.2,0.0206
2384.64,0.0229
2390.08,0.0238
2395.52,0.0222
2400.96,0.0182
2406.4,0.0194
2411.84,0.0182
2417.28,0.0241
2422.72,0.0166
2428.16,0.0164
2433.6,0.0273
2439.04,0.0182
2444.48,0.0337
2449.92,0.0547
2455.36,0.0279
2460.8,0.0289
2466.24,0.0407
2471.69,0.0811
2477.13,0.0701
2482.57,0.2653
2488.01,0.4043
2493.45,0.7181
2498.89,0.2159
