wavelength_nm,reflectance
1867.79,0.0192
1873.23,0.0182
1878.67,0.0171
1884.11,0.016
1889.55,0.015
1894.99,0.014
1900.43,0.013
1905.87,0.0129
1911.31,0.0127
1916.75,0.0125
1922.19,0.0124
1927.63,0.0124
1933.07,0.0124
1938.51,0.0123
1943.95,0.0122
1949.39,0.0121
1954.83,0.0122
1960.28,0.0121
1965.72,0.0119
1971.16,0.0114
1976.6,0.0107
1982.04,0.01
1987.48,0.0141
1992.92,0.0182
1998.36,0.0174
2003.8,0.0353
2009.24,0.0252
2014.68,0.029
2020.12,0.0302
2025.56,0.031
2031.0,0.0333
2036.44,0.0336
2041.88,0.0349
2047.32,0.0333
2052.76,0.0368
2058.2,0.0387
2063.65,0.0407
2069.09,0.0426
2074.53,0.0478
2079.97,0.0455
2085.41,0.0475
2090.85,0.0484
2096.29,0.0496
2101.73,0.0521
2107.17,0.0507
2112.61,0.0529
2118.05,0.0541
2123.49,0.0568
2128.93,0.058
2134.37,0.058
2139.81,0.0581
2145.25,0.0589
2150.69,0.0603
2156.13,0.0612
2161.57,0.0622
2167.02,0.064
2172.46,0.0636
2177.9,0.061
2183.34,0.0635
2188.78,0.0652
2194.22,0.0666
2199.66,0.0701
2205.1,0.0718
2210.54,0.071
2215.98,0.0708
2221.42,0.0685
2226.86,0.0706
2232.3,0.068
2237.74,0.0668
2243.18,0.0656
2248.62,0.0613
2254.06,0.0603
2259.5,0.0567
2264.94,0.0566
2270.39,0.0546
2275.83,0.0542
2281.27,0.0514
2286.71,0.0496
2292.15,0.049
2297.59,0.0468
2303.03,0.047
2308.47,0.0455
2313.91,0.0399
2319.35,0.044
2324.79,0.042
2330.23,0.0376
2335.67,0.0358
2341.11,0.0334
2346.55,0.0302
2351.99,0.0338
2357.43,0.0346
2362.87,0.0272
2368.32,0.0261
2373.76,0.0268
2379.2,0.024
2384.64,0.0289
2390.08,0.0249
2395.52,0.0239
2400.96,0.0194
2406.4,0.0228
2411.84,0.0216
2417.28,0.0231
2422.72,0.0192
2428.16,0.016
2433.6,0.0324
2439.04,0.0194
2444.48,0.0326
2449.92,0.077
2455.36,0.0329
2460.8,0.0371
2466.24,0.0491
2471.69,0.0802
2477.13,0.0693
2482.57,0.2593
2488.01,0.3962
2493.45,0.703
2498.89,0.2117
