# Hyperspectral spectrum export
# Source: data\images\221000_Odra_HS_Blok_A_015_VS_join_atm.hdr
# Pixel: col=2029  row=1222
# data ignore value: 15000.0
# reflectance scale factor: 10000.0
wavelength_nm,dn_value,valid
414.13,157,1
417.32,139,1
420.52,171,1
423.72,154,1
426.91,127,1
430.11,172,1
433.31,141,1
436.5,154,1
439.7,173,1
442.9,164,1
446.09,181,1
449.29,180,1
452.49,175,1
455.68,148,1
458.88,167,1
462.08,145,1
465.27,165,1
468.47,145,1
471.67,156,1
474.86,162,1
478.06,172,1
481.26,156,1
484.45,183,1
487.65,170,1
490.85,162,1
494.04,172,1
497.24,174,1
500.43,198,1
503.63,161,1
506.83,176,1
510.03,182,1
513.22,214,1
516.42,221,1
519.61,215,1
522.81,227,1
526.01,233,1
529.2,244,1
532.4,279,1
535.6,271,1
538.79,286,1
541.99,286,1
545.19,299,1
548.38,294,1
551.58,299,1
554.78,310,1
557.97,310,1
561.17,299,1
564.37,295,1
567.56,301,1
570.76,279,1
573.96,261,1
577.15,271,1
580.35,235,1
583.55,252,1
586.74,246,1
589.94,244,1
593.14,230,1
596.33,226,1
599.53,236,1
602.73,241,1
605.92,222,1
609.12,236,1
612.32,236,1
615.51,238,1
618.71,208,1
621.91,223,1
625.1,211,1
628.3,205,1
631.5,218,1
634.69,214,1
637.89,210,1
641.09,209,1
644.28,203,1
647.48,212,1
650.67,200,1
653.87,194,1
657.07,188,1
660.27,178,1
663.46,188,1
666.66,181,1
669.85,182,1
673.05,177,1
676.25,170,1
679.45,165,1
682.64,184,1
685.84,205,1
689.03,315,1
692.23,425,1
695.43,535,1
698.62,644,1
701.82,754,1
705.02,864,1
708.21,973,1
711.41,1083,1
714.61,1193,1
717.8,1303,1
721,1412,1
724.2,1522,1
727.39,1632,1
730.59,1741,1
733.79,1851,1
736.98,1961,1
740.18,2071,1
743.38,2047,1
746.57,2179,1
749.77,2260,1
752.97,2310,1
756.16,2359,1
759.36,2409,1
762.56,2458,1
765.75,2507,1
768.95,2557,1
772.15,2606,1
775.34,2679,1
778.54,2640,1
781.74,2594,1
784.93,2677,1
788.13,2596,1
791.33,2614,1
794.52,2632,1
797.72,2650,1
800.92,2668,1
804.11,2686,1
807.31,2704,1
810.51,2722,1
813.7,2739,1
816.9,2757,1
820.1,2775,1
823.29,2793,1
826.49,2811,1
829.68,2829,1
832.88,2847,1
836.08,2865,1
839.28,2883,1
842.47,2901,1
845.67,2865,1
848.86,2879,1
852.06,2908,1
855.26,2763,1
858.46,2831,1
861.65,2828,1
864.85,3050,1
868.04,2890,1
871.24,2795,1
874.44,2813,1
877.63,2960,1
880.83,2840,1
884.03,2937,1
887.22,3006,1
890.42,2919,1
893.62,2935,1
896.81,2940,1
900.01,2931,1
903.21,2924,1
906.4,2911,1
909.6,2900,1
912.8,2890,1
915.99,2877,1
919.19,2861,1
922.39,2843,1
925.58,2827,1
928.78,2812,1
931.98,2795,1
935.17,2769,1
938.37,2745,1
941.57,2723,1
944.76,2705,1
947.96,2683,1
951.16,2659,1
954.35,2636,1
957.55,2617,1
960.75,2602,1
963.94,2585,1
967.14,2569,1
970.1,2554,1
975.54,2541,1
980.98,2520,1
986.42,2505,1
991.86,2490,1
997.3,2470,1
1002.74,2473,1
1008.18,2449,1
1013.62,2509,1
1019.06,2612,1
1024.5,2621,1
1029.95,2603,1
1035.39,2573,1
1040.83,2535,1
1046.27,2604,1
1051.71,2651,1
1057.15,2728,1
1062.59,2770,1
1068.03,2795,1
1073.47,2696,1
1078.91,2691,1
1084.35,2703,1
1089.79,2649,1
1095.23,2623,1
1100.67,2607,1
1106.11,2585,1
1111.55,2561,1
1116.99,2529,1
1122.43,2491,1
1127.87,2453,1
1133.32,2402,1
1138.76,2326,1
1144.2,2247,1
1149.64,2180,1
1155.08,2129,1
1160.52,2084,1
1165.96,2045,1
1171.4,2016,1
1176.84,1990,1
1182.28,1970,1
1187.72,2010,1
1193.16,2050,1
1198.6,2257,1
1204.04,2136,1
1209.48,2197,1
1214.92,2160,1
1220.36,2228,1
1225.8,2315,1
1231.24,2301,1
1236.69,2381,1
1242.13,2425,1
1247.57,2474,1
1253.01,2518,1
1258.45,2596,1
1263.89,2650,1
1269.33,2483,1
1274.77,2375,1
1280.21,2520,1
1285.65,2489,1
1291.09,2533,1
1296.53,2562,1
1301.97,2562,1
1307.41,2512,1
1312.85,2499,1
1318.29,2296,1
1323.73,2253,1
1329.17,2714,1
1334.61,2572,1
1340.06,2470,1
1345.5,2369,1
1350.94,2237,1
1356.38,2105,1
1361.82,1982,1
1367.26,1873,1
1372.7,1767,1
1378.14,1630,1
1383.58,1476,1
1389.02,1328,1
1394.46,1188,1
1399.9,1056,1
1405.34,952,1
1410.78,858,1
1416.22,769,1
1421.66,708,1
1427.1,653,1
1432.54,605,1
1437.98,573,1
1443.43,539,1
1448.87,517,1
1454.31,496,1
1459.75,475,1
1465.19,463,1
1470.63,444,1
1476.07,421,1
1481.51,391,1
1486.95,399,1
1492.39,408,1
1497.83,466,1
1503.27,561,1
1508.71,564,1
1514.15,671,1
1519.59,697,1
1525.03,763,1
1530.47,791,1
1535.91,865,1
1541.35,898,1
1546.8,929,1
1552.24,960,1
1557.68,1000,1
1563.12,1013,1
1568.56,1100,1
1574,1080,1
1579.44,1075,1
1584.88,1097,1
1590.32,1144,1
1595.76,1140,1
1601.2,1191,1
1606.64,1212,1
1612.08,1244,1
1617.52,1204,1
1622.96,1222,1
1628.4,1287,1
1633.84,1287,1
1639.28,1307,1
1644.72,1293,1
1650.17,1311,1
1655.61,1299,1
1661.05,1308,1
1666.49,1308,1
1671.93,1300,1
1677.37,1331,1
1682.81,1335,1
1688.25,1311,1
1693.69,1263,1
1699.13,1243,1
1704.57,1234,1
1710.01,1217,1
1715.45,1196,1
1720.89,1176,1
1726.33,1137,1
1731.77,1142,1
1737.21,1167,1
1742.65,1101,1
1748.09,1096,1
1753.54,1116,1
1758.98,1075,1
1764.42,1085,1
1769.86,962,1
1775.3,995,1
1780.74,927,1
1786.18,897,1
1791.62,866,1
1797.06,835,1
1802.5,794,1
1807.94,652,1
1813.38,514,1
1818.82,383,1
1824.26,258,1
1829.7,229,1
1835.14,214,1
1840.58,200,1
1846.02,186,1
1851.46,174,1
1856.91,167,1
1862.35,159,1
1867.79,152,1
1873.23,145,1
1878.67,137,1
1884.11,129,1
1889.55,121,1
1894.99,114,1
1900.43,107,1
1905.87,105,1
1911.31,103,1
1916.75,101,1
1922.19,99,1
1927.63,99,1
1933.07,99,1
1938.51,98,1
1943.95,96,1
1949.39,95,1
1954.83,97,1
1960.28,98,1
1965.72,98,1
1971.16,95,1
1976.6,91,1
1982.04,87,1
1987.48,126,1
1992.92,166,1
1998.36,110,1
2003.8,3,1
2009.24,200,1
2014.68,76,1
2020.12,205,1
