# Hyperspectral spectrum export
# Source: data\images\221000_Odra_HS_Blok_A_015_VS_join_atm.hdr
# Pixel: col=507  row=2713
# data ignore value: 15000.0
# reflectance scale factor: 10000.0
wavelength_nm,dn_value,valid
414.13,163,1
417.32,169,1
420.52,145,1
423.72,140,1
426.91,167,1
430.11,163,1
433.31,148,1
436.5,166,1
439.7,183,1
442.9,181,1
446.09,183,1
449.29,164,1
452.49,166,1
455.68,169,1
458.88,186,1
462.08,185,1
465.27,178,1
468.47,178,1
471.67,168,1
474.86,179,1
478.06,188,1
481.26,204,1
484.45,213,1
487.65,196,1
490.85,180,1
494.04,186,1
497.24,194,1
500.43,214,1
503.63,208,1
506.83,204,1
510.03,221,1
513.22,234,1
516.42,245,1
519.61,256,1
522.81,270,1
526.01,301,1
529.2,321,1
532.4,339,1
535.6,355,1
538.79,359,1
541.99,371,1
545.19,364,1
548.38,372,1
551.58,360,1
554.78,384,1
557.97,401,1
561.17,365,1
564.37,364,1
567.56,361,1
570.76,369,1
573.96,342,1
577.15,329,1
580.35,307,1
583.55,306,1
586.74,315,1
589.94,303,1
593.14,303,1
596.33,306,1
599.53,291,1
602.73,306,1
605.92,294,1
609.12,290,1
612.32,284,1
615.51,289,1
618.71,273,1
621.91,266,1
625.1,275,1
628.3,271,1
631.5,266,1
634.69,273,1
637.89,266,1
641.09,261,1
644.28,273,1
647.48,262,1
650.67,242,1
653.87,240,1
657.07,248,1
660.27,231,1
663.46,230,1
666.66,237,1
669.85,230,1
673.05,230,1
676.25,223,1
679.45,223,1
682.64,222,1
685.84,254,1
689.03,368,1
692.23,483,1
695.43,597,1
698.62,711,1
701.82,826,1
705.02,940,1
708.21,1054,1
711.41,1169,1
714.61,1283,1
717.8,1397,1
721,1512,1
724.2,1626,1
727.39,1741,1
730.59,1855,1
733.79,1969,1
736.98,2084,1
740.18,2198,1
743.38,2331,1
746.57,2443,1
749.77,2590,1
752.97,2625,1
756.16,2660,1
759.36,2695,1
762.56,2731,1
765.75,2766,1
768.95,2801,1
772.15,2836,1
775.34,2945,1
778.54,2947,1
781.74,2934,1
784.93,2961,1
788.13,2985,1
791.33,2998,1
794.52,3011,1
797.72,3025,1
800.92,3038,1
804.11,3051,1
807.31,3065,1
810.51,3078,1
813.7,3091,1
816.9,3105,1
820.1,3118,1
823.29,3131,1
826.49,3145,1
829.68,3158,1
832.88,3171,1
836.08,3184,1
839.28,3198,1
842.47,3211,1
845.67,3226,1
848.86,3238,1
852.06,3237,1
855.26,3179,1
858.46,3200,1
861.65,3196,1
864.85,3380,1
868.04,3365,1
871.24,3203,1
874.44,3198,1
877.63,3266,1
880.83,3293,1
884.03,3315,1
887.22,3300,1
890.42,3254,1
893.62,3444,1
896.81,3450,1
900.01,3436,1
903.21,3426,1
906.4,3409,1
909.6,3394,1
912.8,3380,1
915.99,3363,1
919.19,3342,1
922.39,3320,1
925.58,3299,1
928.78,3279,1
931.98,3258,1
935.17,3226,1
938.37,3197,1
941.57,3169,1
944.76,3147,1
947.96,3120,1
951.16,3091,1
954.35,3063,1
957.55,3040,1
960.75,3019,1
963.94,2998,1
967.14,2978,1
970.1,2957,1
975.54,2941,1
980.98,2912,1
986.42,2890,1
991.86,2868,1
997.3,2841,1
1002.74,2841,1
1008.18,2924,1
1013.62,2992,1
1019.06,3048,1
1024.5,3094,1
1029.95,3089,1
1035.39,3088,1
1040.83,3136,1
1046.27,3177,1
1051.71,3207,1
1057.15,3271,1
1062.59,3306,1
1068.03,3304,1
1073.47,3227,1
1078.91,3178,1
1084.35,3174,1
1089.79,3098,1
1095.23,3051,1
1100.67,3017,1
1106.11,2974,1
1111.55,2930,1
1116.99,2878,1
1122.43,2819,1
1127.87,2758,1
1133.32,2684,1
1138.76,2584,1
1144.2,2482,1
1149.64,2393,1
1155.08,2320,1
1160.52,2254,1
1165.96,2195,1
1171.4,2146,1
1176.84,2101,1
1182.28,2062,1
1187.72,2088,1
1193.16,2114,1
1198.6,2098,1
1204.04,2160,1
1209.48,2218,1
1214.92,2276,1
1220.36,2296,1
1225.8,2320,1
1231.24,2399,1
1236.69,2452,1
1242.13,2448,1
1247.57,2459,1
1253.01,2482,1
1258.45,2451,1
1263.89,2480,1
1269.33,2661,1
1274.77,2577,1
1280.21,2558,1
1285.65,2514,1
1291.09,2427,1
1296.53,2361,1
1301.97,2262,1
1307.41,2140,1
1312.85,2077,1
1318.29,1934,1
1323.73,1766,1
1329.17,1624,1
1334.61,1543,1
1340.06,1488,1
1345.5,1434,1
1350.94,1361,1
1356.38,1287,1
1361.82,1219,1
1367.26,1158,1
1372.7,1098,1
1378.14,1020,1
1383.58,930,1
1389.02,844,1
1394.46,762,1
1399.9,683,1
1405.34,622,1
1410.78,567,1
1416.22,514,1
1421.66,479,1
1427.1,447,1
1432.54,420,1
1437.98,403,1
1443.43,386,1
1448.87,376,1
1454.31,369,1
1459.75,362,1
1465.19,362,1
1470.63,359,1
1476.07,352,1
1481.51,343,1
1486.95,376,1
1492.39,409,1
1497.83,430,1
1503.27,444,1
1508.71,473,1
1514.15,509,1
1519.59,527,1
1525.03,541,1
1530.47,572,1
1535.91,602,1
1541.35,621,1
1546.8,656,1
1552.24,664,1
1557.68,690,1
1563.12,698,1
1568.56,745,1
1574,745,1
1579.44,732,1
1584.88,769,1
1590.32,789,1
1595.76,785,1
1601.2,834,1
1606.64,869,1
1612.08,910,1
1617.52,884,1
1622.96,906,1
1628.4,918,1
1633.84,931,1
1639.28,965,1
1644.72,960,1
1650.17,964,1
1655.61,977,1
1661.05,970,1
1666.49,967,1
1671.93,957,1
1677.37,973,1
1682.81,963,1
1688.25,933,1
1693.69,933,1
1699.13,898,1
1704.57,872,1
1710.01,868,1
1715.45,847,1
1720.89,838,1
1726.33,806,1
1731.77,789,1
1737.21,813,1
1742.65,805,1
1748.09,772,1
1753.54,772,1
1758.98,725,1
1764.42,710,1
1769.86,648,1
1775.3,650,1
1780.74,608,1
1786.18,591,1
1791.62,573,1
1797.06,556,1
1802.5,531,1
1807.94,437,1
1813.38,347,1
1818.82,259,1
1824.26,175,1
1829.7,156,1
1835.14,148,1
1840.58,139,1
1846.02,131,1
1851.46,123,1
1856.91,119,1
1862.35,115,1
1867.79,110,1
1873.23,106,1
1878.67,102,1
1884.11,97,1
1889.55,92,1
1894.99,88,1
1900.43,83,1
1905.87,83,1
1911.31,82,1
1916.75,81,1
1922.19,81,1
1927.63,81,1
1933.07,82,1
1938.51,83,1
1943.95,83,1
1949.39,83,1
1954.83,88,1
1960.28,91,1
1965.72,95,1
1971.16,95,1
1976.6,94,1
1982.04,94,1
1987.48,147,1
1992.92,200,1
1998.36,179,1
2003.8,104,1
2009.24,241,1
2014.68,278,1
2020.12,199,1
2025.56,222,1
2031,228,1
2036.44,245,1
2041.88,262,1
2047.32,275,1
2052.76,317,1
2058.2,264,1
2063.65,238,1
2069.09,286,1
2074.53,236,1
2079.97,281,1
2085.41,286,1
2090.85,278,1
2096.29,302,1
2101.73,271,1
2107.17,318,1
2112.61,286,1
2118.05,310,1
2123.49,318,1
2128.93,324,1
2134.37,355,1
2139.81,309,1
2145.25,366,1
2150.69,327,1
2156.13,326,1
2161.57,343,1
2167.02,334,1
2172.46,341,1
2177.9,354,1
2183.34,389,1
2188.78,331,1
2194.22,440,1
2199.66,403,1
2205.1,338,1
2210.54,389,1
2215.98,349,1
2221.42,386,1
2226.86,402,1
2232.3,396,1
2237.74,347,1
2243.18,381,1
2248.62,324,1
2254.06,355,1
2259.5,333,1
2264.94,304,1
2270.39,352,1
2275.83,285,1
2281.27,249,1
2286.71,271,1
2292.15,296,1
2297.59,222,1
2303.03,272,1
2308.47,283,1
2313.91,275,1
2319.35,269,1
2324.79,229,1
2330.23,240,1
2335.67,245,1
2341.11,236,1
2346.55,223,1
2351.99,244,1
2357.43,249,1
2362.87,219,1
2368.32,323,1
2373.76,270,1
2379.2,317,1
2384.64,251,1
