# Hyperspectral spectrum export
# Source: data\images\221000_Odra_HS_Blok_A_008_VS_join_atm.hdr
# Pixel: col=776  row=503
# data ignore value: 15000.0
# reflectance scale factor: 10000.0
wavelength_nm,dn_value,valid
414.13,110,1
417.32,179,1
420.52,201,1
423.72,170,1
426.91,196,1
430.11,174,1
433.31,147,1
436.5,185,1
439.7,165,1
442.9,193,1
446.09,196,1
449.29,179,1
452.49,187,1
455.68,196,1
458.88,195,1
462.08,198,1
465.27,199,1
468.47,172,1
471.67,181,1
474.86,189,1
478.06,209,1
481.26,207,1
484.45,206,1
487.65,215,1
490.85,185,1
494.04,211,1
497.24,232,1
500.43,232,1
503.63,221,1
506.83,217,1
510.03,238,1
513.22,241,1
516.42,280,1
519.61,256,1
522.81,262,1
526.01,274,1
529.2,274,1
532.4,279,1
535.6,293,1
538.79,307,1
541.99,314,1
545.19,312,1
548.38,304,1
551.58,308,1
554.78,327,1
557.97,329,1
561.17,336,1
564.37,344,1
567.56,349,1
570.76,348,1
573.96,338,1
577.15,349,1
580.35,344,1
583.55,349,1
586.74,377,1
589.94,355,1
593.14,354,1
596.33,338,1
599.53,326,1
602.73,336,1
605.92,330,1
609.12,328,1
612.32,319,1
615.51,307,1
618.71,306,1
621.91,302,1
625.1,305,1
628.3,306,1
631.5,279,1
634.69,286,1
637.89,278,1
641.09,288,1
644.28,296,1
647.48,309,1
650.67,297,1
653.87,293,1
657.07,281,1
660.27,246,1
663.46,250,1
666.66,246,1
669.85,227,1
673.05,226,1
676.25,226,1
679.45,227,1
682.64,245,1
685.84,267,1
689.03,264,1
692.23,260,1
695.43,256,1
698.62,253,1
701.82,249,1
705.02,245,1
708.21,242,1
711.41,238,1
714.61,234,1
717.8,230,1
721,227,1
724.2,223,1
727.39,219,1
730.59,216,1
733.79,212,1
736.98,208,1
740.18,205,1
743.38,219,1
746.57,215,1
749.77,212,1
752.97,214,1
756.16,216,1
759.36,218,1
762.56,220,1
765.75,222,1
768.95,224,1
772.15,226,1
775.34,223,1
778.54,211,1
781.74,220,1
784.93,215,1
788.13,247,1
791.33,243,1
794.52,240,1
797.72,236,1
800.92,233,1
804.11,229,1
807.31,225,1
810.51,222,1
813.7,218,1
816.9,215,1
820.1,211,1
823.29,207,1
826.49,204,1
829.68,200,1
832.88,197,1
836.08,193,1
839.28,189,1
842.47,186,1
845.67,195,1
848.86,187,1
852.06,171,1
855.26,201,1
858.46,163,1
861.65,151,1
864.85,171,1
868.04,186,1
871.24,179,1
874.44,174,1
877.63,177,1
880.83,185,1
884.03,141,1
887.22,164,1
890.42,163,1
893.62,167,1
896.81,167,1
900.01,165,1
903.21,163,1
906.4,161,1
909.6,159,1
912.8,157,1
915.99,155,1
919.19,153,1
922.39,152,1
925.58,150,1
928.78,148,1
931.98,146,1
935.17,144,1
938.37,142,1
941.57,140,1
944.76,138,1
947.96,136,1
951.16,134,1
954.35,133,1
957.55,131,1
960.75,129,1
963.94,127,1
967.14,125,1
970.1,123,1
975.54,121,1
980.98,118,1
986.42,115,1
991.86,112,1
997.3,108,1
1002.74,105,1
1008.18,102,1
1013.62,104,1
1019.06,101,1
1024.5,110,1
1029.95,111,1
1035.39,99,1
1040.83,116,1
1046.27,100,1
1051.71,103,1
1057.15,104,1
1062.59,103,1
1068.03,108,1
1073.47,110,1
1078.91,98,1
1084.35,98,1
1089.79,98,1
1095.23,98,1
1100.67,98,1
1106.11,98,1
1111.55,98,1
1116.99,98,1
1122.43,98,1
1127.87,98,1
1133.32,98,1
1138.76,98,1
1144.2,98,1
1149.64,98,1
1155.08,98,1
1160.52,98,1
1165.96,98,1
1171.4,98,1
1176.84,98,1
1182.28,97,1
1187.72,97,1
1193.16,97,1
1198.6,109,1
1204.04,108,1
1209.48,111,1
1214.92,100,1
1220.36,106,1
1225.8,106,1
1231.24,100,1
1236.69,108,1
1242.13,101,1
1247.57,108,1
1253.01,105,1
1258.45,117,1
1263.89,118,1
1269.33,107,1
1274.77,112,1
1280.21,107,1
1285.65,109,1
1291.09,103,1
1296.53,108,1
1301.97,112,1
1307.41,106,1
1312.85,112,1
1318.29,112,1
1323.73,114,1
1329.17,136,1
1334.61,134,1
1340.06,131,1
1345.5,128,1
1350.94,125,1
1356.38,122,1
1361.82,120,1
1367.26,117,1
1372.7,114,1
1378.14,111,1
1383.58,108,1
1389.02,106,1
1394.46,103,1
1399.9,100,1
1405.34,98,1
1410.78,95,1
1416.22,92,1
1421.66,90,1
1427.1,87,1
1432.54,85,1
1437.98,82,1
1443.43,79,1
1448.87,77,1
1454.31,74,1
1459.75,72,1
1465.19,69,1
1470.63,66,1
1476.07,64,1
1481.51,61,1
1486.95,59,1
1492.39,56,1
1497.83,47,1
1503.27,48,1
1508.71,57,1
1514.15,60,1
1519.59,55,1
1525.03,58,1
1530.47,64,1
1535.91,60,1
1541.35,56,1
1546.8,58,1
1552.24,63,1
1557.68,65,1
1563.12,65,1
1568.56,60,1
1574,67,1
1579.44,61,1
1584.88,52,1
1590.32,62,1
1595.76,63,1
1601.2,69,1
1606.64,64,1
1612.08,63,1
1617.52,63,1
1622.96,57,1
1628.4,71,1
1633.84,73,1
1639.28,69,1
1644.72,57,1
1650.17,53,1
1655.61,64,1
1661.05,77,1
1666.49,66,1
1671.93,60,1
1677.37,65,1
1682.81,65,1
1688.25,62,1
1693.69,66,1
1699.13,63,1
1704.57,62,1
1710.01,65,1
1715.45,63,1
1720.89,60,1
1726.33,63,1
1731.77,59,1
1737.21,56,1
1742.65,75,1
1748.09,74,1
1753.54,67,1
1758.98,73,1
1764.42,65,1
1769.86,51,1
1775.3,58,1
1780.74,57,1
1786.18,57,1
1791.62,57,1
1797.06,57,1
1802.5,57,1
1807.94,57,1
1813.38,57,1
1818.82,57,1
1824.26,57,1
1829.7,57,1
1835.14,57,1
1840.58,57,1
1846.02,57,1
1851.46,57,1
1856.91,57,1
1862.35,57,1
1867.79,57,1
1873.23,56,1
1878.67,56,1
1884.11,56,1
1889.55,56,1
1894.99,56,1
1900.43,56,1
1905.87,56,1
1911.31,56,1
1916.75,56,1
1922.19,56,1
1927.63,56,1
1933.07,56,1
1938.51,56,1
1943.95,56,1
1949.39,56,1
1954.83,56,1
1960.28,56,1
1965.72,56,1
1971.16,57,1
1976.6,57,1
1982.04,57,1
1987.48,57,1
1992.92,57,1
1998.36,108,1
2003.8,277,1
2009.24,68,1
2014.68,119,1
2020.12,126,1
2025.56,71,1
2031,61,1
2036.44,36,1
2041.88,56,1
2047.32,61,1
2052.76,89,1
2058.2,65,1
2063.65,63,1
2069.09,74,1
2074.53,67,1
2079.97,67,1
2085.41,50,1
2090.85,38,1
2096.29,49,1
2101.73,60,1
2107.17,102,1
2112.61,51,1
2118.05,50,1
2123.49,60,1
2128.93,79,1
2134.37,57,1
2139.81,60,1
2145.25,62,1
2150.69,66,1
2156.13,43,1
2161.57,39,1
2167.02,42,1
2172.46,53,1
2177.9,70,1
2183.34,59,1
2188.78,38,1
2194.22,36,1
2199.66,66,1
2205.1,36,1
2210.54,35,1
2215.98,40,1
2221.42,45,1
2226.86,66,1
2232.3,55,1
2237.74,44,1
2243.18,31,1
2248.62,80,1
2254.06,51,1
2259.5,47,1
2264.94,79,1
2270.39,24,1
2275.83,28,1
2281.27,36,1
2286.71,72,1
2292.15,21,1
2297.59,108,1
2303.03,68,1
2308.47,23,1
2313.91,83,1
2319.35,28,1
2324.79,64,1
2330.23,7,1
2335.67,50,1
2341.11,47,1
2346.55,89,1
2351.99,90,1
2357.43,78,1
2362.87,60,1
2368.32,82,1
2373.76,79,1
2379.2,104,1
