# Hyperspectral spectrum export
# Source: data\images\221000_Odra_HS_Blok_A_013_VS_join_atm.hdr
# Pixel: col=4213  row=588
# data ignore value: 15000.0
# reflectance scale factor: 10000.0
wavelength_nm,dn_value,valid
414.13,174,1
417.32,126,1
420.52,152,1
423.72,150,1
426.91,161,1
430.11,176,1
433.31,129,1
436.5,151,1
439.7,138,1
442.9,152,1
446.09,151,1
449.29,155,1
452.49,148,1
455.68,156,1
458.88,155,1
462.08,155,1
465.27,143,1
468.47,131,1
471.67,150,1
474.86,153,1
478.06,157,1
481.26,156,1
484.45,168,1
487.65,153,1
490.85,141,1
494.04,151,1
497.24,156,1
500.43,176,1
503.63,166,1
506.83,169,1
510.03,181,1
513.22,188,1
516.42,202,1
519.61,167,1
522.81,190,1
526.01,199,1
529.2,205,1
532.4,206,1
535.6,218,1
538.79,225,1
541.99,238,1
545.19,230,1
548.38,217,1
551.58,235,1
554.78,236,1
557.97,251,1
561.17,241,1
564.37,237,1
567.56,237,1
570.76,257,1
573.96,236,1
577.15,245,1
580.35,247,1
583.55,245,1
586.74,247,1
589.94,242,1
593.14,231,1
596.33,223,1
599.53,228,1
602.73,225,1
605.92,213,1
609.12,207,1
612.32,206,1
615.51,207,1
618.71,209,1
621.91,194,1
625.1,205,1
628.3,192,1
631.5,199,1
634.69,193,1
637.89,198,1
641.09,196,1
644.28,195,1
647.48,197,1
650.67,186,1
653.87,191,1
657.07,183,1
660.27,162,1
663.46,169,1
666.66,158,1
669.85,165,1
673.05,163,1
676.25,166,1
679.45,166,1
682.64,176,1
685.84,196,1
689.03,195,1
692.23,194,1
695.43,193,1
698.62,192,1
701.82,191,1
705.02,190,1
708.21,188,1
711.41,187,1
714.61,186,1
717.8,185,1
721,184,1
724.2,183,1
727.39,182,1
730.59,181,1
733.79,180,1
736.98,179,1
740.18,178,1
743.38,183,1
746.57,196,1
749.77,185,1
752.97,186,1
756.16,187,1
759.36,188,1
762.56,189,1
765.75,190,1
768.95,191,1
772.15,191,1
775.34,206,1
778.54,213,1
781.74,194,1
784.93,202,1
788.13,202,1
791.33,202,1
794.52,202,1
797.72,202,1
800.92,203,1
804.11,203,1
807.31,203,1
810.51,203,1
813.7,203,1
816.9,204,1
820.1,204,1
823.29,204,1
826.49,204,1
829.68,204,1
832.88,205,1
836.08,205,1
839.28,205,1
842.47,205,1
845.67,193,1
848.86,215,1
852.06,194,1
855.26,237,1
858.46,190,1
861.65,194,1
864.85,192,1
868.04,206,1
871.24,202,1
874.44,199,1
877.63,198,1
880.83,187,1
884.03,203,1
887.22,209,1
890.42,209,1
893.62,199,1
896.81,199,1
900.01,197,1
903.21,195,1
906.4,194,1
909.6,192,1
912.8,191,1
915.99,189,1
919.19,187,1
922.39,186,1
925.58,184,1
928.78,183,1
931.98,181,1
935.17,179,1
938.37,178,1
941.57,176,1
944.76,175,1
