# Hyperspectral spectrum export
# Source: data\images\221000_Odra_HS_Blok_A_008_VS_join_atm.hdr
# Pixel: col=1137  row=3091
# data ignore value: 15000.0
# reflectance scale factor: 10000.0
wavelength_nm,dn_value,valid
414.13,202,1
417.32,207,1
420.52,224,1
423.72,215,1
426.91,233,1
430.11,273,1
433.31,262,1
436.5,238,1
439.7,252,1
442.9,270,1
446.09,267,1
449.29,249,1
452.49,279,1
455.68,260,1
458.88,301,1
462.08,290,1
465.27,275,1
468.47,269,1
471.67,286,1
474.86,313,1
478.06,310,1
481.26,328,1
484.45,338,1
487.65,331,1
490.85,345,1
494.04,353,1
497.24,377,1
500.43,400,1
503.63,377,1
506.83,391,1
510.03,416,1
513.22,418,1
516.42,464,1
519.61,436,1
522.81,451,1
526.01,463,1
529.2,471,1
532.4,490,1
535.6,514,1
538.79,538,1
541.99,549,1
545.19,563,1
548.38,541,1
551.58,562,1
554.78,595,1
557.97,607,1
561.17,611,1
564.37,598,1
567.56,622,1
570.76,646,1
573.96,626,1
577.15,636,1
580.35,644,1
583.55,656,1
586.74,681,1
589.94,699,1
593.14,661,1
596.33,665,1
599.53,660,1
602.73,670,1
605.92,687,1
609.12,676,1
612.32,671,1
615.51,677,1
618.71,681,1
621.91,703,1
625.1,710,1
628.3,724,1
631.5,710,1
634.69,712,1
637.89,740,1
641.09,748,1
644.28,735,1
647.48,749,1
650.67,705,1
653.87,731,1
657.07,714,1
660.27,690,1
663.46,708,1
666.66,719,1
669.85,717,1
673.05,720,1
676.25,735,1
679.45,678,1
682.64,718,1
685.84,783,1
689.03,759,1
692.23,735,1
695.43,712,1
698.62,688,1
701.82,664,1
705.02,640,1
708.21,616,1
711.41,593,1
714.61,569,1
717.8,545,1
721,521,1
724.2,497,1
727.39,474,1
730.59,450,1
733.79,426,1
736.98,402,1
740.18,379,1
743.38,375,1
746.57,389,1
749.77,383,1
752.97,384,1
756.16,384,1
759.36,385,1
762.56,385,1
765.75,386,1
768.95,386,1
772.15,386,1
775.34,394,1
778.54,393,1
781.74,394,1
784.93,414,1
788.13,412,1
791.33,406,1
794.52,401,1
797.72,395,1
800.92,390,1
804.11,384,1
807.31,379,1
810.51,373,1
813.7,368,1
816.9,362,1
820.1,356,1
823.29,351,1
826.49,345,1
829.68,340,1
832.88,334,1
836.08,329,1
839.28,323,1
842.47,318,1
845.67,323,1
848.86,306,1
