# Hyperspectral spectrum export
# Source: data\images\221000_Odra_HS_Blok_A_008_VS_join_atm.hdr
# Pixel: col=1720  row=3617
# data ignore value: 15000.0
# reflectance scale factor: 10000.0
wavelength_nm,dn_value,valid
414.13,255,1
417.32,297,1
420.52,314,1
423.72,272,1
426.91,303,1
430.11,346,1
433.31,298,1
436.5,316,1
439.7,329,1
442.9,311,1
446.09,333,1
449.29,315,1
452.49,359,1
455.68,354,1
458.88,392,1
462.08,371,1
465.27,367,1
468.47,361,1
471.67,381,1
474.86,381,1
478.06,380,1
481.26,423,1
484.45,444,1
487.65,408,1
490.85,404,1
494.04,429,1
497.24,472,1
500.43,514,1
503.63,490,1
506.83,492,1
510.03,515,1
513.22,517,1
516.42,580,1
519.61,532,1
522.81,530,1
526.01,570,1
529.2,557,1
532.4,585,1
535.6,593,1
538.79,648,1
541.99,656,1
545.19,630,1
548.38,655,1
551.58,651,1
554.78,699,1
557.97,698,1
561.17,709,1
564.37,711,1
567.56,718,1
570.76,728,1
573.96,722,1
577.15,749,1
580.35,732,1
583.55,744,1
586.74,770,1
589.94,769,1
593.14,755,1
596.33,768,1
599.53,768,1
602.73,782,1
605.92,776,1
609.12,763,1
612.32,787,1
615.51,810,1
618.71,774,1
621.91,781,1
625.1,803,1
628.3,799,1
631.5,803,1
634.69,793,1
637.89,817,1
641.09,831,1
644.28,869,1
647.48,863,1
650.67,837,1
653.87,838,1
657.07,837,1
660.27,793,1
663.46,840,1
666.66,813,1
669.85,825,1
673.05,792,1
676.25,852,1
679.45,830,1
682.64,810,1
685.84,919,1
689.03,895,1
692.23,872,1
695.43,848,1
698.62,825,1
701.82,802,1
705.02,778,1
708.21,755,1
711.41,731,1
714.61,708,1
717.8,685,1
721,661,1
724.2,638,1
727.39,614,1
730.59,591,1
733.79,567,1
736.98,544,1
740.18,521,1
743.38,517,1
746.57,515,1
749.77,545,1
752.97,545,1
756.16,544,1
759.36,544,1
762.56,544,1
765.75,544,1
768.95,544,1
772.15,544,1
775.34,566,1
778.54,595,1
781.74,564,1
784.93,573,1
788.13,605,1
791.33,597,1
794.52,588,1
797.72,580,1
800.92,571,1
804.11,563,1
807.31,555,1
810.51,546,1
813.7,538,1
816.9,529,1
820.1,521,1
823.29,512,1
826.49,504,1
829.68,496,1
832.88,487,1
836.08,479,1
839.28,470,1
842.47,462,1
845.67,457,1
848.86,438,1
852.06,461,1
855.26,442,1
858.46,413,1
861.65,438,1
864.85,452,1
868.04,434,1
871.24,406,1
874.44,360,1
877.63,341,1
880.83,399,1
884.03,350,1
887.22,341,1
890.42,351,1
893.62,340,1
896.81,340,1
900.01,334,1
903.21,328,1
906.4,321,1
909.6,315,1
912.8,309,1
915.99,302,1
919.19,296,1
922.39,290,1
925.58,283,1
928.78,277,1
931.98,271,1
935.17,264,1
938.37,258,1
941.57,252,1
944.76,245,1
947.96,239,1
951.16,233,1
954.35,226,1
957.55,220,1
960.75,214,1
963.94,207,1
967.14,201,1
970.1,195,1
975.54,189,1
980.98,178,1
986.42,167,1
991.86,157,1
997.3,146,1
1002.74,135,1
1008.18,104,1
1013.62,119,1
1019.06,109,1
1024.5,232,1
1029.95,138,1
1035.39,119,1
1040.83,134,1
1046.27,136,1
1051.71,147,1
1057.15,152,1
1062.59,152,1
1068.03,165,1
1073.47,167,1
1078.91,166,1
1084.35,163,1
1089.79,160,1
1095.23,156,1
1100.67,153,1
1106.11,150,1
1111.55,146,1
1116.99,143,1
1122.43,140,1
1127.87,136,1
1133.32,133,1
1138.76,130,1
1144.2,126,1
1149.64,123,1
1155.08,120,1
1160.52,116,1
1165.96,113,1
