# Hyperspectral spectrum export
# Source: data\images\221000_Odra_HS_Blok_A_015_VS_join_atm.hdr
# Pixel: col=2814  row=1012
# data ignore value: 15000.0
# reflectance scale factor: 10000.0
wavelength_nm,dn_value,valid
414.13,138,1
417.32,178,1
420.52,164,1
423.72,122,1
426.91,147,1
430.11,213,1
433.31,152,1
436.5,161,1
439.7,175,1
442.9,159,1
446.09,163,1
449.29,174,1
452.49,169,1
455.68,144,1
458.88,157,1
462.08,139,1
465.27,155,1
468.47,158,1
471.67,153,1
474.86,168,1
478.06,168,1
481.26,177,1
484.45,168,1
487.65,171,1
490.85,173,1
494.04,170,1
497.24,184,1
500.43,194,1
503.63,178,1
506.83,177,1
510.03,191,1
513.22,192,1
516.42,210,1
519.61,196,1
522.81,195,1
526.01,205,1
529.2,208,1
532.4,203,1
535.6,226,1
538.79,219,1
541.99,226,1
545.19,231,1
548.38,228,1
551.58,249,1
554.78,232,1
557.97,250,1
561.17,248,1
564.37,248,1
567.56,249,1
570.76,255,1
573.96,250,1
577.15,253,1
580.35,240,1
583.55,253,1
586.74,249,1
589.94,242,1
593.14,237,1
596.33,235,1
599.53,227,1
602.73,227,1
605.92,239,1
609.12,227,1
612.32,224,1
615.51,226,1
618.71,217,1
621.91,221,1
625.1,217,1
628.3,218,1
631.5,208,1
634.69,211,1
637.89,231,1
641.09,218,1
644.28,232,1
647.48,238,1
650.67,215,1
653.87,212,1
657.07,217,1
660.27,191,1
663.46,190,1
666.66,195,1
669.85,196,1
673.05,186,1
676.25,192,1
679.45,206,1
682.64,195,1
685.84,213,1
689.03,213,1
692.23,212,1
695.43,212,1
698.62,211,1
701.82,211,1
705.02,210,1
708.21,210,1
711.41,209,1
714.61,209,1
717.8,208,1
721,208,1
724.2,207,1
727.39,206,1
730.59,206,1
733.79,205,1
736.98,205,1
740.18,204,1
743.38,213,1
746.57,203,1
749.77,213,1
752.97,215,1
756.16,217,1
759.36,220,1
762.56,222,1
765.75,224,1
768.95,227,1
772.15,229,1
775.34,212,1
778.54,214,1
781.74,225,1
784.93,219,1
788.13,230,1
791.33,229,1
794.52,228,1
797.72,227,1
800.92,225,1
804.11,224,1
807.31,223,1
810.51,222,1
813.7,221,1
816.9,220,1
820.1,219,1
823.29,218,1
826.49,217,1
829.68,216,1
832.88,215,1
836.08,214,1
839.28,212,1
842.47,211,1
845.67,211,1
848.86,212,1
852.06,191,1
855.26,213,1
858.46,218,1
861.65,201,1
864.85,229,1
868.04,215,1
871.24,188,1
874.44,214,1
877.63,193,1
880.83,205,1
884.03,201,1
887.22,194,1
890.42,223,1
893.62,234,1
896.81,234,1
900.01,232,1
903.21,230,1
906.4,228,1
909.6,227,1
912.8,225,1
915.99,223,1
919.19,221,1
922.39,220,1
925.58,218,1
928.78,216,1
931.98,215,1
935.17,213,1
938.37,211,1
941.57,209,1
