# Hyperspectral spectrum export
# Source: data\images\221000_Odra_HS_Blok_A_013_VS_join_atm.hdr
# Pixel: col=117  row=1341
# data ignore value: 15000.0
# reflectance scale factor: 10000.0
wavelength_nm,dn_value,valid
414.13,187,1
417.32,164,1
420.52,197,1
423.72,182,1
426.91,185,1
430.11,249,1
433.31,201,1
436.5,201,1
439.7,204,1
442.9,203,1
446.09,224,1
449.29,191,1
452.49,197,1
455.68,186,1
458.88,213,1
462.08,202,1
465.27,186,1
468.47,204,1
471.67,202,1
474.86,201,1
478.06,218,1
481.26,230,1
484.45,223,1
487.65,217,1
490.85,218,1
494.04,202,1
497.24,233,1
500.43,248,1
503.63,234,1
506.83,248,1
510.03,263,1
513.22,277,1
516.42,306,1
519.61,281,1
522.81,282,1
526.01,296,1
529.2,285,1
532.4,311,1
535.6,320,1
538.79,330,1
541.99,328,1
545.19,341,1
548.38,344,1
551.58,347,1
554.78,345,1
557.97,361,1
561.17,365,1
564.37,367,1
567.56,359,1
570.76,375,1
573.96,367,1
577.15,366,1
580.35,360,1
583.55,365,1
586.74,373,1
589.94,376,1
593.14,371,1
596.33,360,1
599.53,358,1
602.73,359,1
605.92,366,1
609.12,343,1
612.32,352,1
615.51,349,1
618.71,336,1
621.91,323,1
625.1,331,1
628.3,319,1
631.5,318,1
634.69,317,1
637.89,309,1
641.09,332,1
644.28,323,1
647.48,334,1
650.67,297,1
653.87,305,1
657.07,293,1
660.27,251,1
663.46,254,1
666.66,246,1
669.85,243,1
673.05,244,1
676.25,245,1
679.45,245,1
682.64,259,1
685.84,295,1
689.03,291,1
692.23,286,1
695.43,282,1
698.62,277,1
701.82,273,1
705.02,268,1
708.21,263,1
711.41,259,1
714.61,254,1
717.8,250,1
721,245,1
724.2,241,1
727.39,236,1
730.59,231,1
733.79,227,1
736.98,222,1
740.18,218,1
743.38,212,1
746.57,225,1
749.77,213,1
752.97,213,1
756.16,214,1
759.36,214,1
762.56,214,1
765.75,215,1
768.95,215,1
772.15,216,1
775.34,229,1
778.54,233,1
781.74,227,1
784.93,233,1
788.13,237,1
791.33,233,1
794.52,230,1
797.72,226,1
800.92,223,1
804.11,220,1
807.31,216,1
810.51,213,1
813.7,210,1
816.9,206,1
820.1,203,1
823.29,200,1
826.49,196,1
829.68,193,1
832.88,189,1
836.08,186,1
839.28,183,1
842.47,179,1
845.67,173,1
848.86,186,1
852.06,174,1
855.26,164,1
858.46,169,1
861.65,181,1
864.85,187,1
868.04,162,1
871.24,179,1
874.44,186,1
877.63,167,1
880.83,167,1
884.03,160,1
887.22,169,1
890.42,167,1
893.62,168,1
896.81,168,1
900.01,166,1
903.21,165,1
906.4,163,1
909.6,161,1
912.8,160,1
915.99,158,1
919.19,156,1
922.39,155,1
925.58,153,1
928.78,151,1
931.98,150,1
935.17,148,1
938.37,147,1
941.57,145,1
944.76,143,1
947.96,142,1
951.16,140,1
954.35,138,1
957.55,137,1
960.75,135,1
963.94,133,1
967.14,132,1
970.1,130,1
975.54,129,1
980.98,126,1
986.42,123,1
991.86,120,1
997.3,118,1
1002.74,115,1
1008.18,121,1
1013.62,116,1
1019.06,120,1
1024.5,126,1
1029.95,121,1
1035.39,118,1
1040.83,122,1
1046.27,121,1
1051.71,114,1
1057.15,118,1
1062.59,125,1
1068.03,127,1
1073.47,126,1
1078.91,120,1
1084.35,120,1
1089.79,120,1
1095.23,120,1
1100.67,120,1
1106.11,120,1
1111.55,120,1
1116.99,120,1
1122.43,120,1
1127.87,120,1
1133.32,120,1
1138.76,120,1
1144.2,120,1
1149.64,120,1
1155.08,120,1
1160.52,121,1
1165.96,121,1
1171.4,121,1
1176.84,121,1
1182.28,121,1
1187.72,121,1
1193.16,121,1
1198.6,126,1
1204.04,116,1
1209.48,121,1
1214.92,115,1
1220.36,121,1
1225.8,127,1
1231.24,125,1
1236.69,126,1
1242.13,134,1
1247.57,125,1
1253.01,127,1
1258.45,129,1
1263.89,134,1
1269.33,135,1
1274.77,123,1
1280.21,131,1
1285.65,123,1
1291.09,131,1
1296.53,123,1
1301.97,131,1
1307.41,127,1
1312.85,132,1
1318.29,137,1
1323.73,130,1
1329.17,159,1
1334.61,154,1
1340.06,150,1
1345.5,145,1
1350.94,140,1
1356.38,135,1
1361.82,130,1
1367.26,125,1
1372.7,121,1
1378.14,116,1
1383.58,112,1
1389.02,108,1
1394.46,104,1
1399.9,100,1
1405.34,96,1
1410.78,92,1
1416.22,88,1
1421.66,84,1
1427.1,80,1
1432.54,76,1
1437.98,72,1
1443.43,69,1
1448.87,65,1
1454.31,61,1
1459.75,58,1
1465.19,54,1
1470.63,50,1
1476.07,47,1
1481.51,43,1
1486.95,39,1
1492.39,35,1
1497.83,48,1
1503.27,46,1
1508.71,53,1
1514.15,52,1
1519.59,59,1
1525.03,56,1
1530.47,48,1
1535.91,60,1
1541.35,58,1
1546.8,61,1
1552.24,54,1
1557.68,60,1
1563.12,60,1
1568.56,66,1
1574,64,1
1579.44,57,1
1584.88,59,1
1590.32,66,1
1595.76,68,1
1601.2,62,1
1606.64,63,1
1612.08,63,1
1617.52,67,1
1622.96,65,1
1628.4,69,1
1633.84,65,1
1639.28,64,1
1644.72,67,1
1650.17,57,1
1655.61,70,1
1661.05,72,1
1666.49,69,1
1671.93,70,1
1677.37,67,1
1682.81,64,1
1688.25,65,1
1693.69,62,1
1699.13,60,1
1704.57,76,1
1710.01,56,1
1715.45,61,1
1720.89,53,1
1726.33,49,1
1731.77,53,1
1737.21,64,1
1742.65,69,1
1748.09,70,1
1753.54,54,1
1758.98,61,1
1764.42,61,1
1769.86,71,1
1775.3,67,1
1780.74,66,1
1786.18,65,1
1791.62,64,1
1797.06,63,1
1802.5,63,1
1807.94,62,1
1813.38,61,1
1818.82,60,1
1824.26,59,1
1829.7,58,1
1835.14,57,1
1840.58,56,1
1846.02,55,1
1851.46,54,1
1856.91,53,1
1862.35,52,1
1867.79,51,1
1873.23,50,1
1878.67,49,1
1884.11,48,1
1889.55,48,1
1894.99,47,1
1900.43,46,1
1905.87,45,1
1911.31,44,1
1916.75,43,1
1922.19,42,1
1927.63,41,1
