# Hyperspectral spectrum export
# Source: data\images\221000_Odra_HS_Blok_A_013_VS_join_atm.hdr
# Pixel: col=2651  row=774
# data ignore value: 15000.0
# reflectance scale factor: 10000.0
wavelength_nm,dn_value,valid
414.13,201,1
417.32,139,1
420.52,178,1
423.72,135,1
426.91,156,1
430.11,184,1
433.31,159,1
436.5,184,1
439.7,152,1
442.9,173,1
446.09,167,1
449.29,153,1
452.49,160,1
455.68,160,1
458.88,173,1
462.08,188,1
465.27,164,1
468.47,166,1
471.67,156,1
474.86,167,1
478.06,156,1
481.26,176,1
484.45,165,1
487.65,177,1
490.85,160,1
494.04,160,1
497.24,183,1
500.43,187,1
503.63,167,1
506.83,191,1
510.03,178,1
513.22,193,1
516.42,217,1
519.61,199,1
522.81,199,1
526.01,212,1
529.2,196,1
532.4,228,1
535.6,220,1
538.79,235,1
541.99,234,1
545.19,230,1
548.38,246,1
551.58,243,1
554.78,241,1
557.97,242,1
561.17,246,1
564.37,253,1
567.56,251,1
570.76,250,1
573.96,247,1
577.15,245,1
580.35,235,1
583.55,249,1
586.74,236,1
589.94,239,1
593.14,238,1
596.33,229,1
599.53,228,1
602.73,219,1
605.92,224,1
609.12,216,1
612.32,220,1
615.51,207,1
618.71,210,1
621.91,197,1
625.1,213,1
628.3,202,1
631.5,200,1
634.69,200,1
637.89,194,1
641.09,205,1
644.28,207,1
647.48,203,1
650.67,196,1
653.87,194,1
657.07,189,1
660.27,183,1
663.46,175,1
666.66,177,1
669.85,169,1
673.05,166,1
676.25,175,1
679.45,166,1
682.64,182,1
685.84,209,1
689.03,208,1
692.23,207,1
695.43,205,1
698.62,204,1
701.82,202,1
705.02,201,1
708.21,199,1
711.41,198,1
714.61,196,1
717.8,195,1
721,193,1
724.2,192,1
727.39,191,1
730.59,189,1
733.79,188,1
736.98,186,1
740.18,185,1
743.38,187,1
746.57,191,1
749.77,184,1
752.97,185,1
756.16,185,1
759.36,185,1
762.56,185,1
765.75,185,1
768.95,185,1
772.15,185,1
775.34,200,1
778.54,198,1
781.74,178,1
784.93,188,1
788.13,189,1
791.33,188,1
794.52,187,1
797.72,186,1
800.92,185,1
804.11,184,1
807.31,183,1
810.51,182,1
813.7,181,1
816.9,180,1
820.1,179,1
823.29,178,1
826.49,177,1
829.68,176,1
832.88,175,1
836.08,174,1
839.28,172,1
842.47,171,1
845.67,182,1
848.86,194,1
852.06,169,1
855.26,179,1
858.46,195,1
861.65,169,1
864.85,211,1
868.04,160,1
871.24,175,1
874.44,170,1
877.63,171,1
880.83,169,1
884.03,185,1
887.22,173,1
890.42,185,1
893.62,192,1
896.81,192,1
900.01,191,1
903.21,190,1
906.4,188,1
909.6,187,1
912.8,186,1
915.99,184,1
919.19,183,1
922.39,182,1
925.58,180,1
928.78,179,1
931.98,178,1
935.17,176,1
938.37,175,1
941.57,174,1
944.76,173,1
947.96,171,1
951.16,170,1
954.35,169,1
957.55,167,1
960.75,166,1
963.94,165,1
967.14,163,1
970.1,162,1
975.54,161,1
980.98,159,1
986.42,156,1
991.86,154,1
997.3,152,1
1002.74,150,1
1008.18,138,1
1013.62,137,1
1019.06,150,1
1024.5,146,1
1029.95,130,1
1035.39,141,1
1040.83,142,1
1046.27,127,1
1051.71,139,1
1057.15,145,1
1062.59,148,1
1068.03,142,1
1073.47,139,1
1078.91,136,1
1084.35,136,1
1089.79,135,1
1095.23,134,1
1100.67,134,1
1106.11,133,1
1111.55,132,1
1116.99,132,1
1122.43,131,1
1127.87,131,1
1133.32,130,1
1138.76,129,1
1144.2,129,1
1149.64,128,1
1155.08,127,1
1160.52,127,1
1165.96,126,1
1171.4,125,1
1176.84,125,1
1182.28,124,1
1187.72,123,1
1193.16,123,1
1198.6,148,1
1204.04,129,1
1209.48,134,1
1214.92,132,1
1220.36,135,1
1225.8,126,1
1231.24,136,1
1236.69,135,1
1242.13,139,1
1247.57,140,1
1253.01,141,1
1258.45,144,1
1263.89,153,1
1269.33,141,1
1274.77,126,1
1280.21,136,1
1285.65,131,1
1291.09,132,1
1296.53,140,1
1301.97,149,1
1307.41,132,1
1312.85,133,1
1318.29,144,1
1323.73,142,1
1329.17,183,1
1334.61,179,1
1340.06,174,1
1345.5,169,1
1350.94,164,1
1356.38,159,1
1361.82,153,1
