# Hyperspectral spectrum export
# Source: data\images\221000_Odra_HS_Blok_A_013_VS_join_atm.hdr
# Pixel: col=1746  row=1017
# data ignore value: 15000.0
# reflectance scale factor: 10000.0
wavelength_nm,dn_value,valid
414.13,150,1
417.32,155,1
420.52,150,1
423.72,147,1
426.91,162,1
430.11,193,1
433.31,139,1
436.5,147,1
439.7,145,1
442.9,138,1
446.09,179,1
449.29,162,1
452.49,162,1
455.68,157,1
458.88,167,1
462.08,170,1
465.27,154,1
468.47,161,1
471.67,160,1
474.86,143,1
478.06,156,1
481.26,174,1
484.45,176,1
487.65,155,1
490.85,156,1
494.04,153,1
497.24,164,1
500.43,187,1
503.63,170,1
506.83,180,1
510.03,173,1
513.22,191,1
516.42,213,1
519.61,180,1
522.81,192,1
526.01,217,1
529.2,207,1
532.4,220,1
535.6,223,1
538.79,236,1
541.99,226,1
545.19,240,1
548.38,230,1
551.58,243,1
554.78,240,1
557.97,257,1
561.17,243,1
564.37,248,1
567.56,250,1
570.76,246,1
573.96,244,1
577.15,240,1
580.35,252,1
583.55,252,1
586.74,245,1
589.94,244,1
593.14,238,1
596.33,241,1
599.53,228,1
602.73,226,1
605.92,235,1
609.12,225,1
612.32,222,1
615.51,221,1
618.71,205,1
621.91,209,1
625.1,216,1
628.3,212,1
631.5,212,1
634.69,213,1
637.89,204,1
641.09,227,1
644.28,215,1
647.48,218,1
650.67,197,1
653.87,196,1
657.07,203,1
660.27,180,1
663.46,191,1
666.66,182,1
669.85,179,1
673.05,176,1
676.25,174,1
679.45,176,1
682.64,182,1
685.84,216,1
689.03,214,1
692.23,212,1
695.43,210,1
698.62,208,1
701.82,206,1
705.02,204,1
708.21,203,1
711.41,201,1
714.61,199,1
717.8,197,1
721,195,1
724.2,193,1
727.39,191,1
730.59,189,1
733.79,187,1
736.98,186,1
740.18,184,1
743.38,194,1
746.57,196,1
749.77,193,1
752.97,193,1
756.16,194,1
759.36,194,1
762.56,195,1
765.75,195,1
768.95,196,1
772.15,196,1
775.34,227,1
778.54,217,1
781.74,214,1
784.93,210,1
788.13,221,1
791.33,220,1
794.52,219,1
797.72,217,1
800.92,216,1
804.11,215,1
807.31,214,1
810.51,213,1
813.7,211,1
816.9,210,1
820.1,209,1
823.29,208,1
826.49,207,1
829.68,206,1
832.88,204,1
836.08,203,1
839.28,202,1
842.47,201,1
845.67,208,1
848.86,200,1
852.06,203,1
855.26,196,1
858.46,201,1
861.65,203,1
864.85,196,1
868.04,212,1
871.24,211,1
874.44,200,1
877.63,194,1
880.83,206,1
884.03,198,1
887.22,176,1
890.42,204,1
893.62,238,1
896.81,238,1
900.01,234,1
903.21,230,1
