wavelength_nm,value
414.13,0.007
417.32,0.0062
420.52,0.0106
423.72,0.0065
426.91,0.0104
430.11,0.0094
433.31,0.008
436.5,0.0078
439.7,0.0077
442.9,0.0095
446.09,0.0078
449.29,0.0088
452.49,0.0093
455.68,0.0082
458.88,0.0091
462.08,0.0091
465.27,0.0081
468.47,0.0084
471.67,0.0096
474.86,0.0097
478.06,0.0085
481.26,0.0096
484.45,0.0086
487.65,0.0084
490.85,0.0088
494.04,0.0089
497.24,0.0089
500.43,0.0101
503.63,0.0088
506.83,0.0102
510.03,0.0091
513.22,0.0106
516.42,0.0115
519.61,0.0108
522.81,0.0104
526.01,0.0116
529.2,0.0129
532.4,0.0147
535.6,0.0132
538.79,0.0152
541.99,0.0136
545.19,0.0148
548.38,0.015
551.58,0.0145
554.78,0.0148
557.97,0.0147
561.17,0.0135
564.37,0.0128
567.56,0.0141
570.76,0.0141
573.96,0.013
577.15,0.0127
580.35,0.012
583.55,0.0118
586.74,0.0118
589.94,0.0114
593.14,0.0118
596.33,0.0116
599.53,0.0116
602.73,0.0118
605.92,0.0116
609.12,0.0111
612.32,0.011
615.51,0.0098
618.71,0.0108
621.91,0.0106
625.1,0.0109
628.3,0.0112
631.5,0.0099
634.69,0.0107
637.89,0.0114
641.09,0.01
644.28,0.0113
647.48,0.0109
650.67,0.0109
653.87,0.0106
657.07,0.0101
660.27,0.0091
663.46,0.0104
666.66,0.0104
669.85,0.0106
673.05,0.0103
676.25,0.0093
679.45,0.0099
682.64,0.01
685.84,0.0117
689.03,0.0172
692.23,0.0227
695.43,0.0282
698.62,0.0337
701.82,0.0392
705.02,0.0447
708.21,0.0502
711.41,0.0557
714.61,0.0612
717.8,0.0667
721.0,0.0722
724.2,0.0778
727.39,0.0833
730.59,0.0888
733.79,0.0943
736.98,0.0998
740.18,0.1053
743.38,0.1148
746.57,0.1288
749.77,0.1312
752.97,0.1339
756.16,0.1367
759.36,0.1395
762.56,0.1423
765.75,0.1451
768.95,0.1479
772.15,0.1507
775.34,0.1584
778.54,0.1588
781.74,0.1568
784.93,0.1565
788.13,0.1627
791.33,0.1635
794.52,0.1643
797.72,0.1652
800.92,0.166
804.11,0.1668
807.31,0.1676
810.51,0.1685
813.7,0.1693
816.9,0.1701
820.1,0.1709
823.29,0.1717
826.49,0.1726
829.68,0.1734
832.88,0.1742
836.08,0.175
839.28,0.1759
842.47,0.1767
845.67,0.1806
848.86,0.1708
852.06,0.1681
855.26,0.1765
858.46,0.1708
861.65,0.174
864.85,0.1801
868.04,0.1756
871.24,0.1702
874.44,0.1722
877.63,0.1717
880.83,0.1783
884.03,0.1835
887.22,0.1801
890.42,0.1769
893.62,0.1853
896.81,0.1857
900.01,0.1857
903.21,0.1858
906.4,0.1855
909.6,0.1854
912.8,0.1853
915.99,0.185
919.19,0.1845
922.39,0.1839
925.58,0.1834
928.78,0.1829
931.98,0.1824
935.17,0.1812
938.37,0.1801
941.57,0.1792
944.76,0.1786
947.96,0.1777
951.16,0.1766
954.35,0.1756
957.55,0.1749
960.75,0.1744
963.94,0.1739
967.14,0.1734
970.1,0.1729
975.54,0.1726
980.98,0.1722
986.42,0.1722
991.86,0.1723
997.3,0.1719
1002.74,0.1731
1008.18,0.178
1013.62,0.1807
1019.06,0.1858
1024.5,0.1876
1029.95,0.1861
1035.39,0.1853
1040.83,0.186
1046.27,0.1891
1051.71,0.1937
1057.15,0.1968
1062.59,0.1964
1068.03,0.1983
1073.47,0.1963
1078.91,0.1923
1084.35,0.1935
1089.79,0.1897
1095.23,0.188
1100.67,0.1871
1106.11,0.1857
1111.55,0.1841
1116.99,0.182
1122.43,0.1795
1127.87,0.1769
1133.32,0.1734
1138.76,0.168
1144.2,0.1623
1149.64,0.1576
1155.08,0.154
1160.52,0.151
1165.96,0.1484
1171.4,0.1465
1176.84,0.1448
1182.28,0.1436
1187.72,0.1465
1193.16,0.1494
1198.6,0.15
1204.04,0.1547
1209.48,0.1556
1214.92,0.1603
1220.36,0.1626
1225.8,0.1669
1231.24,0.1704
1236.69,0.1717
1242.13,0.1728
1247.57,0.1738
1253.01,0.174
1258.45,0.1725
1263.89,0.1746
1269.33,0.1854
1274.77,0.1821
1280.21,0.1793
1285.65,0.1758
1291.09,0.1728
1296.53,0.1681
1301.97,0.1656
1307.41,0.1591
1312.85,0.1553
1318.29,0.1484
1323.73,0.1336
1329.17,0.1299
1334.61,0.1236
1340.06,0.1192
1345.5,0.1148
1350.94,0.1088
1356.38,0.1028
1361.82,0.0973
1367.26,0.0925
1372.7,0.0878
1378.14,0.0815
1383.58,0.0742
1389.02,0.0672
1394.46,0.0605
1399.9,0.0541
1405.34,0.0492
1410.78,0.0447
1416.22,0.0405
1421.66,0.0377
1427.1,0.0352
1432.54,0.0331
1437.98,0.0319
1443.43,0.0307
1448.87,0.0301
1454.31,0.0297
1459.75,0.0292
1465.19,0.0295
1470.63,0.0295
1476.07,0.0293
1481.51,0.0289
1486.95,0.0322
1492.39,0.0355
1497.83,0.035
1503.27,0.0381
1508.71,0.0402
1514.15,0.0427
1519.59,0.0447
1525.03,0.0479
1530.47,0.0482
1535.91,0.0502
1541.35,0.0538
1546.8,0.0547
1552.24,0.0578
1557.68,0.0586
1563.12,0.0603
1568.56,0.0634
1574.0,0.0642
1579.44,0.0644
1584.88,0.0674
1590.32,0.0691
1595.76,0.0676
1601.2,0.0712
1606.64,0.0731
1612.08,0.0769
1617.52,0.0744
1622.96,0.0764
1628.4,0.0783
1633.84,0.0784
1639.28,0.08
1644.72,0.0814
1650.17,0.0817
1655.61,0.0805
1661.05,0.0813
1666.49,0.081
1671.93,0.0829
1677.37,0.0824
1682.81,0.0815
1688.25,0.0796
1693.69,0.0778
1699.13,0.0765
1704.57,0.076
1710.01,0.0728
1715.45,0.0653
1720.89,0.0701
1726.33,0.0685
1731.77,0.0682
1737.21,0.0698
1742.65,0.067
1748.09,0.0679
1753.54,0.0668
1758.98,0.0639
1764.42,0.0592
1769.86,0.0573
1775.3,0.0588
1780.74,0.0549
1786.18,0.0531
1791.62,0.0513
1797.06,0.0496
1802.5,0.0472
1807.94,0.0388
1813.38,0.0307
1818.82,0.0229
1824.26,0.0155
1829.7,0.0137
1835.14,0.0128
1840.58,0.012
1846.02,0.0111
1851.46,0.0104
1856.91,0.01
1862.35,0.0095
1867.79,0.0091
1873.23,0.0087
1878.67,0.0083
1884.11,0.0078
1889.55,0.0073
1894.99,0.0069
1900.43,0.0065
1905.87,0.0064
1911.31,0.0063
1916.75,0.0062
1922.19,0.0062
1927.63,0.0063
1933.07,0.0063
1938.51,0.0063
1943.95,0.0063
1949.39,0.0063
1954.83,0.0065
1960.28,0.0067
1965.72,0.0068
1971.16,0.0067
1976.6,0.0065
1982.04,0.0063
1987.48,0.0097
1992.92,0.013
1998.36,0.0135
2003.8,0.0297
2009.24,0.0177
2014.68,0.0002
2020.12,0.0067
2025.56,0.0172
2031.0,0.016
2036.44,0.0153
2041.88,0.0156
2047.32,0.0172
2052.76,0.0233
2058.2,0.0169
2063.65,0.0214
2069.09,0.022
2074.53,0.0192
2079.97,0.0189
2085.41,0.0234
2090.85,0.0174
2096.29,0.0222
2101.73,0.023
2107.17,0.0253
2112.61,0.0237
2118.05,0.0229
2123.49,0.0236
2128.93,0.0228
2134.37,0.0283
2139.81,0.0239
2145.25,0.027
2150.69,0.0225
2156.13,0.0283
2161.57,0.0285
2167.02,0.0279
2172.46,0.0294
2177.9,0.0334
2183.34,0.0314
2188.78,0.0268
2194.22,0.0321
2199.66,0.0362
2205.1,0.0328
2210.54,0.0296
2215.98,0.034
2221.42,0.0313
2226.86,0.0352
2232.3,0.0257
2237.74,0.0232
2243.18,0.0354
2248.62,0.0315
2254.06,0.03
2259.5,0.0238
2264.94,0.0261
2270.39,0.0286
2275.83,0.0221
2281.27,0.0282
2286.71,0.0267
2292.15,0.0244
2297.59,0.0215
2303.03,0.0193
2308.47,0.0258
2313.91,0.0209
2319.35,0.0201
2324.79,0.0232
2330.23,0.0186
2335.67,0.0155
2341.11,0.0172
2346.55,0.0199
2351.99,0.0233
2357.43,0.0127
2362.87,0.0212
2368.32,0.0214
2373.76,0.0141
2379.2,0.0123
2384.64,0.011
2390.08,0.0115
2395.52,0.0157
2400.96,0.0172
2406.4,0.0095
2411.84,0.0089
2417.28,0.0153
2422.72,0.0114
2428.16,0.0068
2433.6,0.0311
2439.04,0.0102
2444.48,0.0389
2449.92,0.0499
2455.36,0.0077
2460.8,0.0097
2466.24,0.013
2471.69,0.0036
2477.13,0.08
2482.57,0.2549
2488.01,0.4629
2493.45,0.1731
2498.89,0.0168
