wavelength_nm,value
414.13,0.0115
417.32,0.0094
420.52,0.0141
423.72,0.0095
426.91,0.0109
430.11,0.0146
433.31,0.0112
436.5,0.0152
439.7,0.0164
442.9,0.0141
446.09,0.0135
449.29,0.013
452.49,0.0141
455.68,0.0121
458.88,0.0131
462.08,0.0148
465.27,0.0132
468.47,0.0129
471.67,0.0135
474.86,0.0129
478.06,0.013
481.26,0.0142
484.45,0.0141
487.65,0.0128
490.85,0.014
494.04,0.0126
497.24,0.0129
500.43,0.0139
503.63,0.0138
506.83,0.0141
510.03,0.0153
513.22,0.0156
516.42,0.0163
519.61,0.0161
522.81,0.018
526.01,0.0182
529.2,0.0184
532.4,0.0213
535.6,0.0204
538.79,0.0201
541.99,0.0206
545.19,0.0201
548.38,0.0205
551.58,0.0221
554.78,0.0223
557.97,0.0226
561.17,0.0217
564.37,0.0208
567.56,0.0193
570.76,0.0191
573.96,0.0191
577.15,0.0181
580.35,0.0168
583.55,0.0163
586.74,0.0175
589.94,0.0164
593.14,0.0161
596.33,0.016
599.53,0.016
602.73,0.0159
605.92,0.0158
609.12,0.0155
612.32,0.0153
615.51,0.0156
618.71,0.015
621.91,0.0145
625.1,0.0134
628.3,0.0146
631.5,0.0138
634.69,0.0153
637.89,0.0153
641.09,0.0136
644.28,0.0146
647.48,0.0133
650.67,0.0139
653.87,0.0133
657.07,0.013
660.27,0.0125
663.46,0.0124
666.66,0.0131
669.85,0.0127
673.05,0.0121
676.25,0.0131
679.45,0.0114
682.64,0.0133
685.84,0.0134
689.03,0.0186
692.23,0.0237
695.43,0.0288
698.62,0.034
701.82,0.0391
705.02,0.0443
708.21,0.0494
711.41,0.0545
714.61,0.0597
717.8,0.0648
721.0,0.07
724.2,0.0751
727.39,0.0802
730.59,0.0854
733.79,0.0905
736.98,0.0957
740.18,0.1008
743.38,0.1086
746.57,0.1153
749.77,0.1233
752.97,0.1257
756.16,0.1281
759.36,0.1305
762.56,0.1329
765.75,0.1353
768.95,0.1377
772.15,0.1401
775.34,0.1408
778.54,0.1429
781.74,0.1432
784.93,0.1436
788.13,0.1464
791.33,0.1467
794.52,0.147
797.72,0.1474
800.92,0.1477
804.11,0.148
807.31,0.1484
810.51,0.1487
813.7,0.149
816.9,0.1494
820.1,0.1497
823.29,0.15
826.49,0.1504
829.68,0.1507
832.88,0.151
836.08,0.1514
839.28,0.1517
842.47,0.152
845.67,0.1515
848.86,0.1532
852.06,0.1522
855.26,0.1563
858.46,0.148
861.65,0.1512
864.85,0.1566
868.04,0.1553
871.24,0.149
874.44,0.149
877.63,0.1506
880.83,0.1595
884.03,0.1573
887.22,0.1606
890.42,0.1607
893.62,0.1545
896.81,0.1548
900.01,0.1541
903.21,0.1535
906.4,0.1526
909.6,0.1518
912.8,0.1511
915.99,0.1503
919.19,0.1492
922.39,0.1482
925.58,0.1471
928.78,0.1462
931.98,0.1452
935.17,0.1437
938.37,0.1423
941.57,0.141
944.76,0.1399
947.96,0.1386
951.16,0.1372
954.35,0.1359
957.55,0.1348
960.75,0.1338
963.94,0.1328
967.14,0.1318
970.1,0.1308
975.54,0.1299
980.98,0.1284
986.42,0.1272
991.86,0.126
997.3,0.1246
1002.74,0.1244
1008.18,0.1246
1013.62,0.1272
1019.06,0.1305
1024.5,0.1332
1029.95,0.1334
1035.39,0.1341
1040.83,0.1337
1046.27,0.1355
1051.71,0.1398
1057.15,0.1439
1062.59,0.1447
1068.03,0.1466
1073.47,0.1447
1078.91,0.1438
1084.35,0.1433
1089.79,0.1398
1095.23,0.1376
1100.67,0.1358
1106.11,0.1337
1111.55,0.1316
1116.99,0.1291
1122.43,0.1263
1127.87,0.1234
1133.32,0.1199
1138.76,0.1154
1144.2,0.1108
1149.64,0.1067
1155.08,0.1033
1160.52,0.1002
1165.96,0.0974
1171.4,0.095
1176.84,0.0928
1182.28,0.0909
1187.72,0.092
1193.16,0.0931
1198.6,0.0988
1204.04,0.0948
1209.48,0.098
1214.92,0.0971
1220.36,0.1002
1225.8,0.1043
1231.24,0.1061
1236.69,0.1076
1242.13,0.1123
1247.57,0.1132
1253.01,0.1171
1258.45,0.1216
1263.89,0.1234
1269.33,0.1187
1274.77,0.1123
1280.21,0.1168
1285.65,0.116
1291.09,0.1165
1296.53,0.1183
1301.97,0.1178
1307.41,0.1124
1312.85,0.1118
1318.29,0.1021
1323.73,0.0996
1329.17,0.1146
1334.61,0.1084
1340.06,0.1041
1345.5,0.0998
1350.94,0.0943
1356.38,0.0889
1361.82,0.0837
1367.26,0.0791
1372.7,0.0745
1378.14,0.0688
1383.58,0.0623
1389.02,0.0562
1394.46,0.0504
1399.9,0.0449
1405.34,0.0405
1410.78,0.0366
1416.22,0.0328
1421.66,0.0302
1427.1,0.0278
1432.54,0.0257
1437.98,0.0241
1443.43,0.0226
1448.87,0.0215
1454.31,0.0205
1459.75,0.0194
1465.19,0.0186
1470.63,0.0176
1476.07,0.0164
1481.51,0.0148
1486.95,0.0146
1492.39,0.0143
1497.83,0.015
1503.27,0.0179
1508.71,0.0187
1514.15,0.0213
1519.59,0.0212
1525.03,0.0231
1530.47,0.0229
1535.91,0.0263
1541.35,0.0271
1546.8,0.0284
1552.24,0.0284
1557.68,0.0309
1563.12,0.0308
1568.56,0.0332
1574.0,0.0306
1579.44,0.0328
1584.88,0.0346
1590.32,0.0357
1595.76,0.0363
1601.2,0.0374
1606.64,0.0401
1612.08,0.0385
1617.52,0.0389
1622.96,0.0409
1628.4,0.0414
1633.84,0.0426
1639.28,0.0428
1644.72,0.0435
1650.17,0.0428
1655.61,0.0441
1661.05,0.0446
1666.49,0.0444
1671.93,0.044
1677.37,0.0445
1682.81,0.0441
1688.25,0.0425
1693.69,0.0417
1699.13,0.0421
1704.57,0.0414
1710.01,0.0386
1715.45,0.0385
1720.89,0.0378
1726.33,0.0365
1731.77,0.0369
1737.21,0.0368
1742.65,0.0366
1748.09,0.0363
1753.54,0.0353
1758.98,0.0331
1764.42,0.0315
1769.86,0.0312
1775.3,0.0329
1780.74,0.0308
1786.18,0.0299
1791.62,0.029
1797.06,0.0281
1802.5,0.0269
1807.94,0.0221
1813.38,0.0175
1818.82,0.0131
1824.26,0.0088
1829.7,0.0079
1835.14,0.0075
1840.58,0.007
1846.02,0.0066
1851.46,0.0063
1856.91,0.0061
1862.35,0.0058
1867.79,0.0056
1873.23,0.0054
1878.67,0.0052
1884.11,0.0049
1889.55,0.0047
1894.99,0.0045
1900.43,0.0043
1905.87,0.0042
1911.31,0.0042
1916.75,0.0041
1922.19,0.0041
1927.63,0.0041
1933.07,0.0041
1938.51,0.0041
1943.95,0.0041
1949.39,0.0041
1954.83,0.0043
1960.28,0.0045
1965.72,0.0046
1971.16,0.0046
1976.6,0.0045
1982.04,0.0045
1987.48,0.007
1992.92,0.0094
1998.36,0.0155
2003.8,0.0277
2009.24,0.0125
2014.68,0.0141
2020.12,0.0148
2025.56,0.0122
2031.0,0.0113
2036.44,0.0117
2041.88,0.0123
2047.32,0.011
2052.76,0.0123
2058.2,0.0106
2063.65,0.0141
2069.09,0.0131
2074.53,0.0138
2079.97,0.0131
2085.41,0.0131
2090.85,0.0131
2096.29,0.0119
2101.73,0.0123
2107.17,0.0131
2112.61,0.012
2118.05,0.0123
2123.49,0.015
2128.93,0.014
2134.37,0.0144
2139.81,0.0145
2145.25,0.013
2150.69,0.0154
2156.13,0.0167
2161.57,0.0149
2167.02,0.0164
2172.46,0.018
2177.9,0.015
2183.34,0.0142
2188.78,0.0147
2194.22,0.0156
2199.66,0.0093
2205.1,0.0144
2210.54,0.0171
2215.98,0.0173
2221.42,0.0164
2226.86,0.0169
2232.3,0.0137
2237.74,0.0157
2243.18,0.0159
2248.62,0.015
2254.06,0.0154
2259.5,0.0145
2264.94,0.0177
2270.39,0.0158
2275.83,0.0155
2281.27,0.0145
2286.71,0.0125
2292.15,0.0132
2297.59,0.0092
2303.03,0.0145
2308.47,0.0126
2313.91,0.012
2319.35,0.0153
2324.79,0.0164
2330.23,0.0173
2335.67,0.0126
2341.11,0.0144
2346.55,0.0136
2351.99,0.0146
2357.43,0.0187
2362.87,0.0132
2368.32,0.0116
2373.76,0.0102
2379.2,0.011
2384.64,0.0016
2390.08,0.0134
2395.52,0.0195
2400.96,0.0108
2406.4,0.0275
2411.84,0.0272
2417.28,0.0228
2422.72,0.0231
