wavelength_nm,value
414.13,0.0138
417.32,0.0089
420.52,0.0121
423.72,0.0129
426.91,0.0154
430.11,0.0127
433.31,0.012
436.5,0.0112
439.7,0.0112
442.9,0.0119
446.09,0.012
449.29,0.0108
452.49,0.0118
455.68,0.0114
458.88,0.0108
462.08,0.011
465.27,0.0108
468.47,0.0103
471.67,0.0111
474.86,0.0109
478.06,0.0126
481.26,0.0117
484.45,0.0115
487.65,0.0111
490.85,0.01
494.04,0.0102
497.24,0.0107
500.43,0.0131
503.63,0.011
506.83,0.0108
510.03,0.0123
513.22,0.013
516.42,0.0123
519.61,0.013
522.81,0.0122
526.01,0.0136
529.2,0.0146
532.4,0.0155
535.6,0.0153
538.79,0.0162
541.99,0.016
545.19,0.0155
548.38,0.016
551.58,0.0163
554.78,0.016
557.97,0.0168
561.17,0.0159
564.37,0.0146
567.56,0.0152
570.76,0.0152
573.96,0.0132
577.15,0.0131
580.35,0.0131
583.55,0.014
586.74,0.0139
589.94,0.0129
593.14,0.013
596.33,0.0135
599.53,0.0123
602.73,0.0131
605.92,0.0132
609.12,0.013
612.32,0.013
615.51,0.0135
618.71,0.0121
621.91,0.0124
625.1,0.0122
628.3,0.0126
631.5,0.0118
634.69,0.0122
637.89,0.0125
641.09,0.0117
644.28,0.0115
647.48,0.0127
650.67,0.0109
653.87,0.0111
657.07,0.0116
660.27,0.0108
663.46,0.0109
666.66,0.0115
669.85,0.0109
673.05,0.0116
676.25,0.0115
679.45,0.0113
682.64,0.0109
685.84,0.0124
689.03,0.0153
692.23,0.0181
695.43,0.021
698.62,0.0238
701.82,0.0267
705.02,0.0295
708.21,0.0324
711.41,0.0353
714.61,0.0381
717.8,0.041
721.0,0.0438
724.2,0.0467
727.39,0.0495
730.59,0.0524
733.79,0.0552
736.98,0.0581
740.18,0.0609
743.38,0.0664
746.57,0.0709
749.77,0.075
752.97,0.0756
756.16,0.0762
759.36,0.0768
762.56,0.0774
765.75,0.078
768.95,0.0786
772.15,0.0792
775.34,0.0809
778.54,0.0819
781.74,0.0783
784.93,0.082
788.13,0.0825
791.33,0.0829
794.52,0.0832
797.72,0.0836
800.92,0.0839
804.11,0.0843
807.31,0.0846
810.51,0.085
813.7,0.0854
816.9,0.0857
820.1,0.0861
823.29,0.0864
826.49,0.0868
829.68,0.0871
832.88,0.0875
836.08,0.0879
839.28,0.0882
842.47,0.0886
845.67,0.0896
848.86,0.0827
852.06,0.0895
855.26,0.0873
858.46,0.0869
861.65,0.0911
864.85,0.0943
868.04,0.0921
871.24,0.09
874.44,0.089
877.63,0.088
880.83,0.0925
884.03,0.0901
887.22,0.0966
890.42,0.0912
893.62,0.0954
896.81,0.0955
900.01,0.0947
903.21,0.0941
906.4,0.0933
909.6,0.0925
912.8,0.0918
915.99,0.091
919.19,0.0902
922.39,0.0893
925.58,0.0885
928.78,0.0876
931.98,0.0868
935.17,0.0857
938.37,0.0847
941.57,0.0837
944.76,0.0828
947.96,0.0818
951.16,0.0808
954.35,0.0799
957.55,0.079
960.75,0.0781
963.94,0.0772
967.14,0.0764
970.1,0.0755
975.54,0.0747
980.98,0.0733
986.42,0.0721
991.86,0.0708
997.3,0.0695
1002.74,0.0689
1008.18,0.0707
1013.62,0.0713
1019.06,0.0714
1024.5,0.0732
1029.95,0.0733
1035.39,0.0734
1040.83,0.0751
1046.27,0.0773
1051.71,0.079
1057.15,0.0786
1062.59,0.0807
1068.03,0.0809
1073.47,0.0793
1078.91,0.0777
1084.35,0.0774
1089.79,0.0762
1095.23,0.0754
1100.67,0.0747
1106.11,0.0739
1111.55,0.0732
1116.99,0.0722
1122.43,0.0711
1127.87,0.0699
1133.32,0.0683
1138.76,0.0664
1144.2,0.0644
1149.64,0.0626
1155.08,0.0611
1160.52,0.0596
1165.96,0.0585
1171.4,0.0575
1176.84,0.0565
1182.28,0.0559
1187.72,0.0574
1193.16,0.0589
1198.6,0.0573
1204.04,0.0585
1209.48,0.0591
1214.92,0.0616
1220.36,0.0604
1225.8,0.0644
1231.24,0.0637
1236.69,0.0648
1242.13,0.0639
1247.57,0.0643
1253.01,0.0658
1258.45,0.0638
1263.89,0.0651
1269.33,0.0703
1274.77,0.0668
1280.21,0.0671
1285.65,0.0655
1291.09,0.0641
1296.53,0.063
1301.97,0.0621
1307.41,0.0579
1312.85,0.0556
1318.29,0.0546
1323.73,0.0519
1329.17,0.0495
1334.61,0.0482
1340.06,0.0469
1345.5,0.0455
1350.94,0.044
1356.38,0.0426
1361.82,0.0411
1367.26,0.0397
1372.7,0.0384
1378.14,0.0371
1383.58,0.0358
1389.02,0.0346
1394.46,0.0334
1399.9,0.0323
1405.34,0.0312
1410.78,0.03
1416.22,0.0289
1421.66,0.0278
1427.1,0.0267
1432.54,0.0255
1437.98,0.0245
1443.43,0.0234
1448.87,0.0224
1454.31,0.0213
1459.75,0.0203
1465.19,0.0193
1470.63,0.0182
1476.07,0.0172
1481.51,0.0161
1486.95,0.0149
1492.39,0.0138
1497.83,0.0155
1503.27,0.0175
1508.71,0.0186
1514.15,0.0192
1519.59,0.0219
1525.03,0.02
1530.47,0.021
1535.91,0.0216
1541.35,0.0226
1546.8,0.0241
1552.24,0.0238
1557.68,0.0244
1563.12,0.0252
1568.56,0.0261
1574.0,0.0258
1579.44,0.0261
1584.88,0.0273
1590.32,0.0267
1595.76,0.0263
1601.2,0.0282
1606.64,0.0292
1612.08,0.0319
1617.52,0.0299
1622.96,0.0309
1628.4,0.0308
1633.84,0.0314
1639.28,0.0317
1644.72,0.0321
1650.17,0.0317
1655.61,0.0328
1661.05,0.0326
1666.49,0.0324
1671.93,0.0329
1677.37,0.0317
1682.81,0.0331
1688.25,0.0304
1693.69,0.0335
1699.13,0.0325
1704.57,0.0323
1710.01,0.0292
1715.45,0.0313
1720.89,0.0282
1726.33,0.0274
1731.77,0.028
1737.21,0.0275
1742.65,0.0282
1748.09,0.0263
1753.54,0.027
1758.98,0.0248
1764.42,0.024
1769.86,0.0226
1775.3,0.023
1780.74,0.0226
1786.18,0.0221
1791.62,0.0217
1797.06,0.0212
1802.5,0.0207
1807.94,0.0202
1813.38,0.0197
1818.82,0.0192
1824.26,0.0187
1829.7,0.0182
1835.14,0.0178
1840.58,0.0173
1846.02,0.0169
1851.46,0.0165
1856.91,0.0161
1862.35,0.0157
1867.79,0.0153
1873.23,0.0149
1878.67,0.0145
1884.11,0.0141
1889.55,0.0137
1894.99,0.0134
1900.43,0.013
1905.87,0.0126
1911.31,0.0122
1916.75,0.0118
1922.19,0.0115
1927.63,0.0111
1933.07,0.0108
1938.51,0.0104
1943.95,0.0101
1949.39,0.0097
1954.83,0.0094
1960.28,0.009
1965.72,0.0087
1971.16,0.0083
1976.6,0.0079
1982.04,0.0075
1987.48,0.0071
1992.92,0.0067
1998.36,0.012
2003.8,0.0294
2009.24,0.0008
2014.68,0.0629
2020.12,0.0049
2025.56,0.0023
2031.0,0.006
2036.44,0.0084
2041.88,0.0106
2047.32,0.0079
2052.76,0.01
2058.2,0.0039
2063.65,0.0072
2069.09,0.0096
2074.53,0.0093
2079.97,0.0103
2085.41,0.0092
2090.85,0.0102
2096.29,0.0098
2101.73,0.0095
2107.17,0.0098
2112.61,0.0093
2118.05,0.0124
2123.49,0.0114
2128.93,0.0112
2134.37,0.0104
2139.81,0.0082
2145.25,0.0118
2150.69,0.0094
2156.13,0.0127
2161.57,0.0138
2167.02,0.0141
2172.46,0.013
2177.9,0.0119
2183.34,0.0092
2188.78,0.0145
2194.22,0.0143
2199.66,0.0124
2205.1,0.0156
2210.54,0.01
2215.98,0.0086
2221.42,0.0097
2226.86,0.008
2232.3,0.011
2237.74,0.0156
2243.18,0.0111
2248.62,0.0119
2254.06,0.0107
2259.5,0.0051
2264.94,0.0045
