# Hyperspectral spectrum export
# Source: data\images\221000_Odra_HS_Blok_A_015_VS_join_atm.hdr
# Pixel: col=2442  row=796
# data ignore value: 15000.0
# reflectance scale factor: 10000.0
wavelength_nm,dn_value,valid
414.13,351,1
417.32,355,1
420.52,389,1
423.72,413,1
426.91,447,1
430.11,494,1
433.31,418,1
436.5,460,1
439.7,480,1
442.9,496,1
446.09,511,1
449.29,510,1
452.49,528,1
455.68,517,1
458.88,562,1
462.08,546,1
465.27,554,1
468.47,569,1
471.67,570,1
474.86,568,1
478.06,634,1
481.26,635,1
484.45,693,1
487.65,661,1
490.85,661,1
494.04,635,1
497.24,695,1
500.43,732,1
503.63,700,1
506.83,719,1
510.03,758,1
513.22,791,1
516.42,869,1
519.61,860,1
522.81,856,1
526.01,904,1
529.2,928,1
532.4,986,1
535.6,1014,1
538.79,1049,1
541.99,1065,1
545.19,1086,1
548.38,1105,1
551.58,1093,1
554.78,1117,1
557.97,1153,1
561.17,1120,1
564.37,1158,1
567.56,1157,1
570.76,1155,1
573.96,1135,1
577.15,1128,1
580.35,1139,1
583.55,1138,1
586.74,1169,1
589.94,1164,1
593.14,1178,1
596.33,1174,1
599.53,1174,1
602.73,1219,1
605.92,1228,1
609.12,1215,1
612.32,1211,1
615.51,1238,1
618.71,1225,1
621.91,1243,1
625.1,1267,1
628.3,1281,1
631.5,1271,1
634.69,1295,1
637.89,1295,1
641.09,1310,1
644.28,1354,1
647.48,1345,1
650.67,1330,1
653.87,1312,1
657.07,1296,1
660.27,1258,1
663.46,1313,1
666.66,1315,1
669.85,1328,1
673.05,1363,1
676.25,1340,1
679.45,1368,1
682.64,1384,1
685.84,1538,1
689.03,1600,1
692.23,1662,1
695.43,1724,1
698.62,1786,1
701.82,1848,1
705.02,1910,1
708.21,1972,1
711.41,2034,1
714.61,2096,1
717.8,2158,1
721,2220,1
724.2,2282,1
727.39,2344,1
730.59,2406,1
733.79,2468,1
736.98,2530,1
740.18,2592,1
743.38,2647,1
746.57,2760,1
749.77,2823,1
752.97,2847,1
756.16,2871,1
759.36,2894,1
762.56,2918,1
765.75,2942,1
768.95,2966,1
772.15,2990,1
775.34,3065,1
778.54,3096,1
781.74,3069,1
784.93,3062,1
788.13,3093,1
791.33,3109,1
794.52,3124,1
797.72,3140,1
800.92,3156,1
804.11,3172,1
807.31,3187,1
810.51,3203,1
813.7,3219,1
816.9,3234,1
820.1,3250,1
823.29,3266,1
826.49,3282,1
829.68,3297,1
832.88,3313,1
836.08,3329,1
839.28,3344,1
842.47,3360,1
845.67,3401,1
848.86,3477,1
852.06,3462,1
855.26,3484,1
858.46,3371,1
861.65,3310,1
864.85,3647,1
868.04,3503,1
871.24,3372,1
874.44,3438,1
877.63,3355,1
880.83,3433,1
884.03,3460,1
887.22,3586,1
890.42,3636,1
893.62,3766,1
896.81,3764,1
900.01,3752,1
903.21,3740,1
906.4,3729,1
909.6,3717,1
912.8,3705,1
915.99,3694,1
919.19,3685,1
922.39,3675,1
925.58,3665,1
928.78,3655,1
931.98,3645,1
935.17,3636,1
938.37,3626,1
941.57,3616,1
944.76,3605,1
947.96,3596,1
951.16,3589,1
954.35,3580,1
957.55,3570,1
960.75,3558,1
963.94,3547,1
967.14,3535,1
970.1,3522,1
975.54,3510,1
980.98,3489,1
986.42,3466,1
991.86,3442,1
997.3,3423,1
1002.74,3412,1
1008.18,3357,1
1013.62,3473,1
1019.06,3547,1
1024.5,3523,1
1029.95,3517,1
1035.39,3447,1
1040.83,3455,1
1046.27,3517,1
1051.71,3588,1
1057.15,3667,1
1062.59,3702,1
1068.03,3716,1
1073.47,3614,1
1078.91,3622,1
1084.35,3597,1
1089.79,3595,1
1095.23,3583,1
1100.67,3568,1
1106.11,3554,1
1111.55,3542,1
1116.99,3531,1
1122.43,3518,1
1127.87,3499,1
1133.32,3480,1
1138.76,3470,1
1144.2,3461,1
1149.64,3449,1
1155.08,3428,1
1160.52,3407,1
1165.96,3391,1
1171.4,3373,1
1176.84,3355,1
1182.28,3342,1
1187.72,3374,1
1193.16,3406,1
1198.6,3677,1
1204.04,3550,1
1209.48,3643,1
